,housing,balance,y
8313,yes,498,no
8314,yes,7343,no
8315,yes,33,no
8316,yes,3496,no
8317,yes,592,no
8318,yes,1108,no
8319,yes,-292,no
8320,yes,1708,no
8321,yes,235,no
8322,yes,-1050,no
8323,yes,2398,no
8324,no,5234,no
8325,yes,954,no
8326,yes,3404,no
8327,yes,27,no
8328,yes,6285,no
8329,yes,355,no
8330,yes,0,no
8331,yes,4309,no
8332,yes,696,no
8333,yes,-718,no
8334,yes,-854,no
8335,yes,12282,no
8336,yes,0,no
8337,yes,-575,no
8338,no,13,no
8339,yes,6445,no
8340,yes,1960,yes
8341,no,130,no
8342,yes,930,no
8343,yes,5149,no
8344,yes,260,yes
8345,yes,-411,yes
8346,yes,342,no
8347,yes,2529,no
8348,yes,412,no
8349,yes,11615,no
8350,yes,-165,no
8351,no,3139,no
8352,yes,674,no
8353,yes,-360,no
8354,yes,43,no
8355,yes,265,no
8356,yes,-121,no
8357,yes,344,no
8358,no,2423,no
8359,yes,1186,no
8360,yes,7634,no
8361,yes,0,no
8362,no,-446,no
8363,yes,277,no
8364,yes,648,no
8365,yes,-1193,no
8366,yes,107,no
8367,yes,468,no
8368,yes,-872,no
8369,yes,1695,no
8370,yes,-292,no
8371,yes,196,no
8372,no,914,no
8373,yes,734,no
8374,yes,120,no
8375,yes,1125,no
8376,yes,1166,no
8377,yes,13683,no
8378,yes,-790,no
8379,yes,231,no
8380,yes,3809,no
8381,yes,255,no
8382,yes,34,no
8383,yes,1279,yes
8384,yes,-562,no
8385,yes,-938,no
8386,yes,2893,no
8387,yes,-120,no
8388,yes,-256,no
8389,yes,-306,no
8390,yes,344,no
8391,no,1772,no
8392,yes,86,yes
8393,yes,92,no
8394,yes,2096,no
8395,yes,1355,no
8396,yes,418,no
8397,yes,457,no
8398,yes,1323,no
8399,yes,450,no
8400,yes,317,no
8401,yes,1545,no
8402,yes,-589,no
8403,yes,3070,no
8404,yes,446,no
8405,yes,-475,no
8406,yes,2062,no
8407,yes,407,no
8408,yes,646,no
8409,yes,182,no
8410,yes,0,no
8411,yes,-129,no
8412,yes,1761,no
8413,no,227,no
8414,no,463,no
8415,yes,0,no
8416,yes,948,no
8417,yes,191,no
8418,yes,187,no
8419,yes,3689,no
8420,yes,743,no
8421,no,575,no
8422,yes,-605,no
8423,yes,0,no
8424,yes,2068,no
8425,yes,2812,no
8426,no,-154,no
8427,yes,1854,no
8428,yes,776,no
8429,yes,4466,no
8430,yes,9326,no
8431,yes,220,no
8432,yes,596,no
8433,yes,12926,no
8434,yes,2877,no
8435,yes,-127,no
8436,yes,3909,no
8437,yes,784,no
8438,yes,1221,no
8439,no,1449,no
8440,yes,1534,no
8441,yes,1510,no
8442,yes,-754,yes
8443,yes,1309,no
8444,yes,205,no
8445,yes,3862,no
8446,yes,873,no
8447,yes,358,no
8448,yes,2869,no
8449,yes,1669,no
8450,no,13,no
8451,no,0,no
8452,yes,1734,no
8453,yes,0,no
8454,yes,1734,no
8455,yes,3813,no
8456,yes,497,no
8457,yes,823,no
8458,yes,769,no
8459,no,0,yes
8460,no,67,no
8461,yes,-399,no
8462,yes,943,no
8463,yes,435,no
8464,yes,412,no
8465,yes,-630,no
8466,yes,6141,no
8467,yes,572,no
8468,yes,907,no
8469,yes,1073,no
8470,yes,334,no
8471,yes,471,no
8472,yes,16402,no
8473,yes,4408,no
8474,yes,519,no
8475,yes,270,no
8476,yes,746,no
8477,yes,-269,no
8478,no,218,no
8479,yes,12686,no
8480,yes,572,no
8481,yes,27,no
8482,yes,0,no
8483,yes,-366,no
8484,yes,4788,no
8485,yes,-581,no
8486,yes,346,no
8487,yes,1311,no
8488,yes,725,no
8489,yes,178,yes
8490,yes,2186,no
8491,yes,974,no
8492,yes,1588,no
8493,yes,1464,no
8494,yes,931,no
8495,yes,149,no
8496,no,11,no
8497,yes,466,no
8498,yes,234,no
8499,yes,243,no
8500,yes,-107,no
8501,yes,618,no
8502,yes,6531,no
8503,yes,202,no
8504,yes,0,no
8505,yes,527,no
8506,yes,1698,no
8507,yes,2104,no
8508,yes,859,no
8509,yes,1021,no
8510,yes,691,no
8511,yes,-263,no
8512,yes,498,no
8513,yes,1588,no
8514,yes,35,no
8515,no,341,no
8516,yes,66,no
8517,yes,1291,no
8518,yes,1780,no
8519,yes,1762,no
8520,yes,167,no
8521,no,0,no
8522,yes,278,yes
8523,yes,818,no
8524,yes,277,no
8525,yes,-478,no
8526,yes,-221,no
8527,yes,269,no
8528,yes,4736,no
8529,yes,1373,no
8530,yes,3456,no
8531,yes,47,no
8532,yes,217,no
8533,yes,2188,no
8534,yes,17964,no
8535,yes,3110,no
8536,yes,855,no
8537,yes,1820,no
8538,yes,-42,no
8539,yes,1132,no
8540,yes,76,no
8541,yes,512,no
8542,yes,7858,no
8543,no,2589,no
8544,yes,340,no
8545,yes,-63,no
8546,yes,147,no
8547,yes,429,no
8548,yes,3778,no
8549,yes,-80,no
8550,yes,56,no
8551,yes,243,no
8552,yes,-93,no
8553,yes,203,no
8554,yes,431,no
8555,yes,27733,no
8556,yes,3575,no
8557,yes,-437,no
8558,yes,124,no
8559,yes,425,yes
8560,yes,919,no
8561,yes,1602,no
8562,yes,478,no
8563,yes,-488,no
8564,yes,168,yes
8565,no,0,no
8566,no,258,no
8567,yes,25,no
8568,yes,208,no
8569,yes,-100,no
8570,yes,-36,yes
8571,yes,-1621,no
8572,yes,126,yes
8573,yes,0,no
8574,yes,8938,no
8575,yes,7845,no
8576,yes,765,no
8577,no,1325,no
8578,yes,1476,no
8579,yes,399,no
8580,yes,-24,no
8581,yes,146,no
8582,yes,0,no
8583,yes,0,no
8584,yes,60,no
8585,yes,559,no
8586,yes,692,no
8587,yes,0,no
8588,yes,17891,no
8589,yes,459,no
8590,yes,156,no
8591,yes,170,no
8592,yes,6010,no
8593,no,-306,no
8594,yes,461,no
8595,no,1078,no
8596,yes,912,no
8597,yes,895,no
8598,yes,21,no
8599,yes,3844,no
8600,yes,0,no
8601,yes,-6,no
8602,yes,1066,no
8603,yes,788,no
8604,no,0,no
8605,yes,-224,no
8606,yes,-207,no
8607,yes,0,no
8608,yes,4630,no
8609,yes,910,no
8610,yes,1845,no
8611,yes,2195,no
8612,yes,705,no
8613,yes,661,no
8614,yes,2236,no
8615,yes,295,no
8616,no,-18,no
8617,yes,1623,no
8618,no,246,no
8619,yes,-298,no
8620,yes,3131,no
8621,yes,437,no
8622,no,980,no
8623,yes,576,no
8624,no,1254,no
8625,yes,296,no
8626,yes,2472,no
8627,yes,678,no
8628,yes,1893,yes
8629,yes,0,no
8630,yes,-547,no
8631,yes,766,no
8632,yes,711,no
8633,yes,544,no
8634,yes,27359,no
8635,yes,976,no
8636,yes,-205,no
8637,yes,194,no
8638,yes,256,no
8639,yes,70,no
8640,no,302,no
8641,yes,1017,no
8642,yes,3638,no
8643,yes,-171,no
8644,yes,2251,no
8645,yes,0,no
8646,yes,-87,yes
8647,yes,548,no
8648,yes,1582,no
8649,yes,284,no
8650,yes,10,no
8651,yes,432,no
8652,yes,-205,no
8653,yes,2796,no
8654,yes,2958,no
8655,yes,205,no
8656,yes,5611,no
8657,yes,1345,no
8658,yes,316,no
8659,yes,0,no
8660,yes,2201,no
8661,yes,90,no
8662,yes,635,no
8663,yes,50,no
8664,no,46,no
8665,yes,1044,no
8666,yes,750,no
8667,yes,4084,no
8668,yes,147,no
8669,yes,298,no
8670,yes,2083,no
8671,yes,183,no
8672,yes,256,no
8673,yes,-208,no
8674,yes,1002,no
8675,yes,228,no
8676,yes,-574,no
8677,yes,277,no
8678,yes,1430,no
8679,yes,3931,no
8680,yes,43,no
8681,no,3,no
8682,no,131,no
8683,yes,2399,no
8684,yes,207,no
8685,yes,6290,no
8686,no,654,no
8687,no,-409,no
8688,yes,387,no
8689,yes,2615,no
8690,yes,3043,no
8691,yes,60,no
8692,yes,298,no
8693,yes,3,no
8694,yes,-409,no
8695,no,224,no
8696,yes,3107,no
8697,yes,1802,no
8698,yes,303,no
8699,yes,321,no
8700,yes,11222,no
8701,yes,4737,no
8702,yes,-505,no
8703,yes,1958,no
8704,yes,-335,no
8705,yes,8627,no
8706,yes,6281,yes
8707,yes,437,no
8708,no,982,no
8709,yes,1128,no
8710,yes,7503,no
8711,yes,-461,no
8712,yes,895,no
8713,yes,-1136,no
8714,yes,400,no
8715,yes,1003,no
8716,yes,1938,no
8717,yes,-527,no
8718,yes,644,yes
8719,yes,1165,no
8720,yes,-92,no
8721,yes,342,no
8722,yes,1611,no
8723,yes,0,no
8724,yes,10787,no
8725,yes,308,no
8726,yes,39,no
8727,yes,258,no
8728,yes,336,no
8729,yes,454,no
8730,yes,-347,no
8731,yes,-389,yes
8732,yes,160,no
8733,yes,369,no
8734,yes,529,no
8735,yes,924,no
8736,no,2002,no
8737,yes,215,no
8738,yes,365,no
8739,yes,344,no
8740,yes,136,no
8741,yes,-22,no
8742,yes,0,no
8743,yes,450,no
8744,yes,377,yes
8745,yes,76,yes
8746,yes,780,no
8747,yes,1065,no
8748,yes,7982,no
8749,yes,943,no
8750,yes,0,no
8751,no,284,no
8752,yes,1446,no
8753,yes,4409,no
8754,yes,-565,no
8755,yes,-271,yes
8756,yes,1664,no
8757,yes,-1202,no
8758,yes,-625,no
8759,yes,1566,no
8760,yes,5839,yes
8761,yes,-211,no
8762,yes,-309,no
8763,yes,5057,no
8764,no,4,no
8765,yes,4013,no
8766,yes,708,no
8767,yes,137,no
8768,yes,-12,no
8769,yes,1386,no
8770,yes,4144,no
8771,yes,-285,no
8772,yes,3611,no
8773,yes,2019,no
8774,yes,145,no
8775,yes,556,no
8776,yes,0,no
8777,yes,-59,no
8778,yes,-276,no
8779,yes,587,no
8780,yes,773,no
8781,yes,6196,no
8782,yes,296,no
8783,yes,477,no
8784,no,2008,no
8785,yes,648,no
8786,yes,330,no
8787,yes,492,yes
8788,yes,111,no
8789,yes,-173,no
8790,yes,-132,no
8791,yes,966,no
8792,yes,262,no
8793,yes,353,no
8794,yes,476,no
8795,yes,493,no
8796,yes,76,no
8797,no,-242,no
8798,yes,-37,no
8799,yes,355,no
8800,no,-426,no
8801,yes,578,no
8802,yes,0,no
8803,yes,425,no
8804,yes,2385,no
8805,no,2,no
8806,yes,509,no
8807,yes,4281,no
8808,yes,467,no
8809,yes,581,no
8810,yes,2726,no
8811,yes,99,yes
8812,no,1103,no
8813,yes,559,no
8814,yes,3756,no
8815,yes,907,no
8816,yes,-335,no
8817,yes,-713,yes
8818,yes,967,no
8819,yes,191,no
8820,yes,-306,no
8821,yes,32,yes
8822,yes,-8,no
8823,yes,117,no
8824,yes,387,no
8825,yes,-553,no
8826,yes,1634,no
8827,yes,-45,no
8828,no,13052,no
8829,yes,5380,no
8830,no,-341,no
8831,no,88,no
8832,yes,543,yes
8833,yes,253,no
8834,yes,403,yes
8835,yes,1143,no
8836,yes,0,no
8837,yes,178,no
8838,yes,0,no
8839,no,433,no
8840,yes,0,no
8841,yes,-247,no
8842,yes,-226,no
8843,yes,273,no
8844,yes,881,no
8845,yes,43,no
8846,yes,606,no
8847,no,0,no
8848,yes,635,no
8849,yes,2330,no
8850,yes,295,no
8851,yes,-141,no
8852,yes,-1083,no
8853,yes,300,no
8854,yes,17036,no
8855,yes,1010,no
8856,yes,1616,no
8857,yes,4594,no
8858,yes,5278,no
8859,yes,355,no
8860,yes,1808,no
8861,yes,2514,no
8862,yes,220,no
8863,yes,25,no
8864,yes,-303,no
8865,yes,0,no
8866,yes,1232,no
8867,yes,128,no
8868,yes,-82,no
8869,yes,681,no
8870,no,-147,no
8871,yes,554,no
8872,yes,362,no
8873,yes,510,no
8874,yes,406,no
8875,yes,518,no
8876,yes,241,no
8877,yes,-227,no
8878,no,579,no
8879,yes,138,no
8880,no,130,no
8881,yes,391,no
8882,yes,201,no
8883,yes,373,no
8884,yes,419,yes
8885,yes,655,no
8886,yes,-165,no
8887,yes,447,no
8888,yes,-489,no
8889,yes,437,yes
8890,yes,296,no
8891,yes,-507,no
8892,yes,1354,no
8893,yes,950,no
8894,yes,568,no
8895,yes,160,no
8896,yes,306,no
8897,yes,1103,no
8898,yes,6,no
8899,yes,162,no
8900,yes,2892,no
8901,yes,-380,no
8902,yes,880,no
8903,yes,4787,no
8904,yes,4096,no
8905,yes,248,no
8906,yes,312,no
8907,yes,273,no
8908,yes,311,no
8909,yes,-172,no
8910,yes,3342,no
8911,yes,113,no
8912,yes,-97,no
8913,yes,454,no
8914,yes,1118,no
8915,yes,3423,no
8916,yes,710,no
8917,yes,226,no
8918,no,203,no
8919,yes,717,no
8920,yes,138,no
8921,yes,217,no
8922,yes,934,no
8923,yes,2671,no
8924,yes,500,no
8925,yes,42,no
8926,yes,200,no
8927,yes,1450,no
8928,yes,1014,no
8929,yes,735,no
8930,yes,356,no
8931,yes,2957,no
8932,yes,250,no
8933,yes,266,no
8934,yes,1577,no
8935,yes,0,no
8936,yes,36,no
8937,yes,68,no
8938,yes,0,no
8939,no,1049,no
8940,yes,553,no
8941,yes,0,no
8942,yes,1790,no
8943,yes,104,no
8944,yes,127,no
8945,yes,1913,no
8946,yes,933,no
8947,yes,201,no
8948,yes,759,no
8949,yes,244,no
8950,no,87,no
8951,yes,-167,no
8952,yes,625,no
8953,yes,-159,no
8954,yes,350,no
8955,no,255,no
8956,yes,-74,no
8957,yes,944,no
8958,yes,705,no
8959,yes,720,no
8960,yes,941,no
8961,yes,0,no
8962,no,531,no
8963,no,7454,no
8964,no,62,no
8965,no,0,no
8966,no,182,no
8967,no,0,no
8968,no,5,no
8969,no,135,no
8970,no,0,no
8971,no,356,no
8972,yes,314,no
8973,no,395,no
8974,no,1630,no
8975,no,-491,no
8976,no,705,yes
8977,no,344,no
8978,no,198,no
8979,no,9121,no
8980,yes,11,no
8981,no,1944,no
8982,yes,835,no
8983,no,882,no
8984,no,-250,no
8985,yes,1240,no
8986,no,1903,no
8987,no,119,no
8988,no,0,no
8989,no,0,no
8990,no,0,no
8991,yes,1365,no
8992,no,-3,no
8993,no,1574,no
8994,yes,153,no
8995,no,848,no
8996,no,56,no
8997,yes,325,no
8998,yes,-222,no
8999,no,261,no
9000,no,0,no
9001,no,488,no
9002,no,3940,no
9003,no,9824,no
9004,yes,257,no
9005,yes,-640,no
9006,no,0,no
9007,yes,883,no
9008,no,8251,no
9009,yes,1910,no
9010,no,1649,no
9011,no,1772,yes
9012,no,590,no
9013,no,0,no
9014,yes,4209,no
9015,no,561,no
9016,no,2800,no
9017,no,1619,no
9018,yes,2281,no
9019,no,522,no
9020,yes,2551,no
9021,yes,150,no
9022,yes,440,no
9023,no,213,no
9024,no,0,no
9025,no,0,yes
9026,yes,282,no
9027,yes,-97,no
9028,no,0,no
9029,yes,296,no
9030,yes,151,no
9031,no,1037,no
9032,no,2132,no
9033,no,125,no
9034,no,1340,no
9035,no,67,no
9036,yes,2673,no
9037,no,382,no
9038,no,6536,no
9039,no,533,no
9040,yes,-88,yes
9041,no,0,no
9042,no,13,no
9043,no,3458,no
9044,no,0,yes
9045,no,8590,no
9046,no,2946,no
9047,no,14363,no
9048,no,443,no
9049,no,853,yes
9050,no,41,no
9051,yes,313,no
9052,yes,682,no
9053,no,219,no
9054,yes,540,no
9055,no,4046,no
9056,no,0,no
9057,yes,2790,no
9058,no,0,no
9059,no,1218,no
9060,no,1007,no
9061,no,419,no
9062,yes,144,no
9063,no,60,no
9064,yes,421,no
9065,yes,681,no
9066,no,244,no
9067,no,3503,no
9068,no,15442,no
9069,no,240,yes
9070,no,0,no
9071,no,983,no
9072,no,743,no
9073,no,89,no
9074,no,3587,no
9075,yes,1401,no
9076,no,9397,no
9077,no,-119,no
9078,yes,1648,no
9079,no,13360,no
9080,yes,641,no
9081,no,2424,no
9082,no,14,no
9083,no,0,no
9084,no,982,no
9085,yes,1779,no
9086,no,0,no
9087,yes,849,yes
9088,no,206,no
9089,yes,25,no
9090,no,227,no
9091,yes,67,no
9092,no,420,no
9093,no,1316,no
9094,yes,1,no
9095,no,202,no
9096,no,769,no
9097,no,495,no
9098,no,2960,no
9099,no,3063,no
9100,no,842,no
9101,no,316,no
9102,no,139,no
9103,yes,346,no
9104,yes,318,yes
9105,yes,1151,no
9106,no,0,no
9107,yes,703,yes
9108,no,40,no
9109,no,1470,no
9110,no,0,no
9111,yes,1800,no
9112,no,0,no
9113,no,4820,no
9114,no,4207,no
9115,no,1242,no
9116,no,0,no
9117,no,11464,no
9118,no,0,no
9119,yes,6397,no
9120,yes,2758,no
9121,no,3304,no
9122,no,0,no
9123,no,61,yes
9124,no,865,no
9125,yes,0,no
9126,yes,3231,no
9127,no,7747,no
9128,yes,787,no
9129,yes,0,no
9130,no,0,no
9131,no,1227,no
9132,yes,226,no
9133,no,3107,no
9134,no,104,yes
9135,yes,1201,no
9136,yes,168,no
9137,no,1327,no
9138,no,4318,no
9139,yes,5164,no
9140,yes,414,no
9141,yes,4320,no
9142,no,476,no
9143,no,1996,yes
9144,no,1238,yes
9145,no,879,yes
9146,yes,196,no
9147,yes,185,no
9148,yes,425,yes
9149,yes,0,no
9150,yes,734,no
9151,no,255,no
9152,yes,4458,no
9153,no,71,no
9154,yes,351,no
9155,yes,0,no
9156,no,7025,no
9157,no,743,no
9158,no,0,no
9159,yes,-18,no
9160,no,660,no
9161,yes,-293,no
9162,no,10855,no
9163,no,0,no
9164,yes,130,no
9165,no,848,no
9166,no,1070,no
9167,no,460,no
9168,yes,1222,no
9169,yes,-389,no
9170,yes,0,no
9171,no,0,no
9172,no,2600,no
9173,yes,1795,no
9174,no,143,no
9175,no,792,no
9176,yes,549,no
9177,no,15,no
9178,yes,21515,no
9179,yes,588,no
9180,no,220,no
9181,no,914,no
9182,no,1099,no
9183,no,1815,no
9184,no,1210,no
9185,no,637,no
9186,no,855,no
9187,yes,117,no
9188,no,1044,no
9189,no,1459,no
9190,no,275,no
9191,no,500,no
9192,no,1659,no
9193,yes,4579,no
9194,no,1038,no
9195,no,533,no
9196,no,0,no
9197,no,269,no
9198,yes,34,no
9199,yes,3694,no
9200,no,1111,no
9201,yes,1779,no
9202,no,2996,no
9203,no,1554,no
9204,no,1750,no
9205,yes,188,yes
9206,yes,541,no
9207,no,652,no
9208,yes,91,no
9209,no,3239,yes
9210,no,358,no
9211,yes,-294,no
9212,no,229,no
9213,yes,95,no
9214,no,1733,no
9215,no,808,no
9216,no,2269,no
9217,yes,214,no
9218,no,0,no
9219,no,13,no
9220,yes,1550,no
9221,yes,130,no
9222,yes,477,no
9223,no,8562,no
9224,yes,150,no
9225,no,20,no
9226,yes,-572,no
9227,yes,884,no
9228,no,3277,no
9229,no,429,no
9230,yes,97,no
9231,yes,113,no
9232,no,-11,no
9233,no,3583,no
9234,yes,457,no
9235,no,1347,no
9236,yes,146,no
9237,yes,416,yes
9238,yes,323,no
9239,yes,12848,no
9240,yes,550,no
9241,yes,-1019,no
9242,no,844,yes
9243,no,68,no
9244,no,698,no
9245,yes,-17,no
9246,yes,311,no
9247,yes,943,no
9248,yes,1357,no
9249,no,0,no
9250,yes,280,no
9251,yes,1464,no
9252,no,1820,no
9253,no,0,no
9254,no,1537,no
9255,no,1677,no
9256,yes,223,no
9257,yes,1595,no
9258,no,12,no
9259,yes,140,no
9260,yes,2452,no
9261,yes,281,no
9262,yes,2074,no
9263,no,5,no
9264,yes,1304,no
9265,yes,860,yes
9266,yes,986,no
9267,no,0,no
9268,no,419,no
9269,yes,266,no
9270,no,1189,no
9271,no,3924,no
9272,yes,1623,no
9273,no,518,no
9274,no,3594,no
9275,no,2296,no
9276,yes,3313,no
9277,yes,1613,no
9278,yes,-661,no
9279,no,2171,no
9280,no,1742,no
9281,no,549,no
9282,yes,1523,no
9283,yes,1790,no
9284,no,363,no
9285,yes,512,no
9286,no,636,no
9287,no,0,no
9288,yes,731,no
9289,yes,3460,no
9290,no,4674,no
9291,no,3279,no
9292,yes,12,no
9293,no,2805,no
9294,no,0,no
9295,yes,1848,no
9296,yes,125,no
9297,no,635,no
9298,no,394,no
9299,yes,1646,no
9300,yes,249,no
9301,no,334,no
9302,yes,407,no
9303,no,2093,no
9304,yes,0,no
9305,no,1699,no
9306,no,911,no
9307,yes,3127,no
9308,no,-133,no
9309,yes,2841,no
9310,yes,2770,no
9311,yes,-355,no
9312,no,21861,no
9313,no,3258,no
9314,no,122,no
9315,no,-103,no
9316,yes,230,no
9317,yes,3,no
9318,no,609,no
9319,yes,1015,yes
9320,no,-247,no
9321,no,0,no
9322,yes,625,no
9323,no,0,no
9324,no,1701,no
9325,no,2313,no
9326,yes,599,no
9327,no,656,no
9328,yes,1328,no
9329,no,13,no
9330,no,21,no
9331,no,2571,no
9332,no,12,no
9333,yes,1138,no
9334,no,-140,no
9335,yes,565,no
9336,no,2836,no
9337,no,122,no
9338,no,0,no
9339,yes,444,no
9340,no,1047,yes
9341,no,1837,no
9342,yes,1,no
9343,yes,490,no
9344,yes,-1110,no
9345,no,0,no
9346,no,2791,no
9347,yes,546,no
9348,no,27,no
9349,no,5506,no
9350,no,401,no
9351,yes,3704,no
9352,yes,708,no
9353,yes,482,no
9354,no,0,no
9355,no,881,no
9356,no,118,no
9357,no,248,no
9358,yes,884,no
9359,yes,799,no
9360,no,0,no
9361,no,10,no
9362,yes,292,no
9363,no,992,no
9364,yes,1012,no
9365,no,0,no
9366,no,984,no
9367,yes,1743,no
9368,yes,794,no
9369,yes,383,no
9370,no,2505,no
9371,no,441,no
9372,yes,72,no
9373,no,0,no
9374,yes,1230,no
9375,no,4150,no
9376,yes,694,no
9377,no,9796,no
9378,no,9059,no
9379,yes,940,no
9380,yes,639,yes
9381,yes,710,yes
9382,yes,-156,no
9383,no,926,no
9384,no,6408,no
9385,no,3039,no
9386,yes,685,no
9387,no,0,no
9388,no,2152,no
9389,no,1508,yes
9390,yes,901,no
9391,no,8251,no
9392,yes,778,no
9393,no,101,no
9394,no,161,no
9395,no,4785,no
9396,no,3823,no
9397,yes,-282,no
9398,no,1657,no
9399,yes,1491,no
9400,no,750,no
9401,no,0,no
9402,no,148,no
9403,yes,797,no
9404,yes,329,no
9405,yes,1060,no
9406,no,613,no
9407,no,492,no
9408,no,1266,no
9409,no,406,no
9410,no,2010,no
9411,no,45,no
9412,no,0,no
9413,no,5403,no
9414,no,116,no
9415,no,545,no
9416,yes,1004,no
9417,no,8127,no
9418,no,1521,no
9419,no,1453,no
9420,yes,-294,no
9421,no,22018,no
9422,no,3595,no
9423,no,4053,no
9424,yes,300,no
9425,no,45141,no
9426,no,657,no
9427,no,-540,no
9428,yes,139,no
9429,no,66,no
9430,yes,746,no
9431,yes,189,no
9432,yes,624,no
9433,no,3180,no
9434,yes,223,yes
9435,no,1055,no
9436,no,0,no
9437,no,160,no
9438,no,2000,no
9439,yes,425,no
9440,no,9,no
9441,yes,619,yes
9442,yes,-1042,yes
9443,yes,679,no
9444,no,406,no
9445,yes,334,no
9446,yes,215,no
9447,no,1001,no
9448,no,5462,no
9449,yes,685,no
9450,no,914,no
9451,yes,359,no
9452,yes,1029,no
9453,yes,351,yes
9454,yes,84,no
9455,no,0,no
9456,no,0,no
9457,yes,1417,no
9458,yes,123,no
9459,yes,1205,no
9460,no,53,no
9461,no,11146,no
9462,no,202,no
9463,no,2899,no
9464,no,810,no
9465,no,22,no
9466,no,10360,no
9467,no,328,no
9468,yes,4793,no
9469,no,763,no
9470,yes,673,no
9471,yes,1088,no
9472,no,19850,no
9473,no,8001,no
9474,no,8313,no
9475,no,1309,no
9476,yes,1461,yes
9477,no,-488,no
9478,no,653,no
9479,yes,871,no
9480,no,1059,no
9481,no,1594,no
9482,no,64,no
9483,yes,0,no
9484,yes,1265,no
9485,yes,97,no
9486,no,207,no
9487,yes,482,no
9488,no,3275,no
9489,yes,70,no
9490,no,38,no
9491,no,195,no
9492,yes,319,yes
9493,yes,5267,no
9494,no,2774,no
9495,yes,259,no
9496,yes,0,no
9497,no,1636,no
9498,yes,4789,no
9499,no,480,yes
9500,yes,-246,no
9501,no,630,no
9502,yes,342,no
9503,no,21,no
9504,yes,33,no
9505,yes,762,no
9506,no,0,no
9507,no,-2,no
9508,no,2936,no
9509,no,561,no
9510,no,2022,no
9511,no,1870,no
9512,no,2754,no
9513,no,1960,no
9514,no,510,no
9515,yes,213,yes
9516,no,4053,no
9517,no,482,no
9518,no,464,no
9519,yes,1383,no
9520,no,3598,no
9521,no,201,no
9522,no,5287,no
9523,no,343,no
9524,no,1,no
9525,no,1956,no
9526,yes,733,no
9527,yes,3430,no
9528,no,832,no
9529,no,1190,no
9530,no,176,no
9531,no,-571,no
9532,no,191,no
9533,yes,327,no
9534,no,0,no
9535,yes,935,no
9536,no,52499,no
9537,no,1260,no
9538,no,10285,no
9539,no,958,no
9540,yes,1698,no
9541,no,0,no
9542,yes,727,no
9543,yes,9192,no
9544,yes,595,no
9545,yes,2296,no
9546,yes,-30,no
9547,yes,3503,no
9548,no,3577,no
9549,yes,0,no
9550,yes,3653,no
9551,yes,1232,no
9552,no,21574,no
9553,no,850,no
9554,no,3303,no
9555,yes,444,no
9556,no,792,no
9557,no,1386,no
9558,no,1549,no
9559,yes,4830,no
9560,yes,2803,no
9561,yes,594,no
9562,no,40,no
9563,no,378,no
9564,no,12001,no
9565,no,6020,no
9566,yes,23,no
9567,no,44,no
9568,no,1114,no
9569,no,1275,no
9570,no,2908,no
9571,yes,-97,no
9572,no,1300,no
9573,yes,43,no
9574,no,5334,no
9575,yes,160,no
9576,no,11671,no
9577,no,251,no
9578,no,68,yes
9579,no,218,no
9580,no,5349,no
9581,yes,295,yes
9582,no,2199,no
9583,yes,3783,no
9584,yes,287,no
9585,no,7082,no
9586,yes,87,no
9587,no,-5,no
9588,yes,3050,no
9589,no,0,no
9590,no,1632,no
9591,yes,150,no
9592,yes,-204,no
9593,no,2836,no
9594,no,7067,no
9595,no,640,no
9596,no,254,no
9597,no,2367,no
9598,yes,16430,no
9599,yes,1328,no
9600,no,1,no
9601,no,-38,no
9602,no,927,no
9603,yes,5098,no
9604,yes,8114,no
9605,no,0,no
9606,yes,-288,no
9607,no,246,no
9608,yes,313,no
9609,no,162,no
9610,yes,2645,no
9611,no,289,no
9612,no,263,no
9613,no,1873,no
9614,no,204,no
9615,yes,-56,no
9616,no,2662,no
9617,no,231,no
9618,no,311,no
9619,no,0,no
9620,no,0,no
9621,no,130,no
9622,yes,158,no
9623,yes,2704,no
9624,no,-200,no
9625,no,22928,no
9626,no,590,no
9627,no,7,no
9628,no,2586,no
9629,no,0,no
9630,no,10442,no
9631,yes,414,no
9632,yes,231,no
9633,no,1005,no
9634,yes,610,no
9635,no,1676,no
9636,yes,1807,no
9637,yes,0,no
9638,yes,-33,no
9639,yes,1420,no
9640,no,2,no
9641,no,4639,no
9642,no,391,no
9643,yes,596,no
9644,yes,1,no
9645,no,1502,no
9646,yes,806,no
9647,yes,2788,yes
9648,yes,1526,no
9649,yes,660,no
9650,yes,1372,no
9651,yes,3339,no
9652,no,4509,no
9653,no,1434,no
9654,no,328,no
9655,no,502,no
9656,yes,77,no
9657,yes,92,no
9658,no,497,no
9659,no,-63,no
9660,yes,5418,no
9661,yes,0,no
9662,yes,2870,no
9663,no,3201,no
9664,yes,7179,no
9665,yes,535,no
9666,no,389,no
9667,no,3237,no
9668,yes,379,no
9669,no,9200,no
9670,yes,1963,no
9671,yes,1245,yes
9672,no,340,no
9673,no,311,no
9674,yes,1953,no
9675,no,0,no
9676,no,295,no
9677,yes,500,no
9678,no,3952,no
9679,no,2610,no
9680,no,17,no
9681,no,1017,no
9682,no,5521,no
9683,no,3234,no
9684,no,0,no
9685,no,126,no
9686,yes,-1272,no
9687,yes,480,no
9688,no,0,no
9689,no,425,no
9690,no,193,no
9691,no,7561,yes
9692,yes,-162,no
