,y,loan,bank_arg1
10659,no,no,0.18
10660,no,no,0.1
10661,no,no,0.11
10662,no,no,0.17
10663,no,no,0.14
10664,yes,yes,0.76
10665,no,yes,0.33
10666,no,no,0.13
10667,no,no,0.12
10668,no,no,0.14
10669,no,no,0.14
10670,no,no,0.14
10671,no,no,0.11
10672,no,no,0.12
10673,no,no,0.18
10674,no,no,0.1
10675,no,no,0.16
10676,no,no,0.2
10677,no,no,0.2
10678,no,no,0.19
10679,no,no,0.18
10680,no,no,0.15
10681,no,yes,0.35
10682,no,no,0.1
10683,yes,no,0.6
10684,no,no,0.15
10685,no,no,0.11
10686,no,no,0.16
10687,no,no,0.2
10688,no,yes,0.37
10689,no,no,0.2
10690,no,no,0.17
10691,no,no,0.14
10692,no,yes,0.32
10693,no,no,0.1
10694,no,no,0.16
10695,no,no,0.18
10696,no,no,0.18
10697,no,no,0.1
10698,no,no,0.17
10699,no,yes,0.3
10700,no,no,0.15
10701,no,no,0.1
10702,no,no,0.17
10703,no,no,0.11
10704,no,yes,0.32
10705,no,no,0.18
10706,no,no,0.12
10707,no,no,0.2
10708,no,no,0.16
10709,no,no,0.19
10710,no,no,0.13
10711,no,no,0.17
10712,no,no,0.12
10713,no,no,0.19
10714,no,no,0.12
10715,no,no,0.2
10716,no,no,0.16
10717,no,no,0.1
10718,no,no,0.19
10719,no,yes,0.32
10720,no,no,0.15
10721,yes,no,0.54
10722,no,yes,0.4
10723,no,no,0.18
10724,no,no,0.12
10725,no,no,0.16
10726,yes,no,0.55
10727,no,no,0.1
10728,no,no,0.2
10729,no,no,0.14
10730,no,no,0.18
10731,no,no,0.17
10732,no,no,0.12
10733,no,no,0.12
10734,no,no,0.17
10735,no,no,0.2
10736,no,no,0.16
10737,no,no,0.17
10738,no,no,0.11
10739,no,no,0.13
10740,no,no,0.18
10741,no,no,0.14
10742,no,no,0.2
10743,no,no,0.14
10744,no,no,0.15
10745,no,no,0.1
10746,no,yes,0.3
10747,no,no,0.17
10748,no,no,0.1
10749,no,no,0.13
10750,no,no,0.12
10751,no,no,0.11
10752,no,no,0.15
10753,no,no,0.16
10754,no,no,0.19
10755,no,no,0.16
10756,no,yes,0.38
10757,no,no,0.14
10758,no,no,0.2
10759,no,yes,0.38
10760,no,no,0.12
10761,no,no,0.11
10762,no,yes,0.31
10763,no,no,0.12
10764,no,no,0.18
10765,no,no,0.15
10766,no,no,0.17
10767,no,no,0.16
10768,no,yes,0.4
10769,no,no,0.17
10770,no,no,0.14
10771,no,no,0.12
10772,no,no,0.19
10773,no,no,0.18
10774,no,no,0.16
10775,no,no,0.19
10776,no,no,0.14
10777,no,no,0.15
10778,no,yes,0.36
10779,no,no,0.2
10780,no,no,0.14
10781,no,no,0.11
10782,no,no,0.15
10783,no,yes,0.36
10784,no,no,0.17
10785,no,no,0.16
10786,no,no,0.19
10787,no,no,0.11
10788,no,no,0.16
10789,no,no,0.14
10790,no,no,0.1
10791,no,no,0.18
10792,no,no,0.2
10793,no,no,0.18
10794,no,no,0.12
10795,no,no,0.13
10796,no,no,0.2
10797,no,no,0.15
10798,no,no,0.19
10799,no,no,0.15
10800,no,no,0.15
10801,no,no,0.13
10802,no,yes,0.35
10803,no,yes,0.31
10804,no,no,0.15
10805,no,no,0.2
10806,no,no,0.15
10807,no,yes,0.36
10808,no,yes,0.33
10809,no,no,0.19
10810,no,no,0.2
10811,no,no,0.2
10812,no,no,0.2
10813,no,no,0.1
10814,no,no,0.2
10815,no,no,0.17
10816,no,no,0.1
10817,no,no,0.18
10818,no,no,0.2
10819,no,no,0.2
10820,no,no,0.19
10821,no,no,0.18
10822,no,no,0.11
10823,no,yes,0.32
10824,yes,no,0.58
10825,no,no,0.11
10826,no,no,0.11
10827,no,no,0.16
10828,no,no,0.14
10829,no,no,0.2
10830,no,no,0.1
10831,no,no,0.11
10832,no,no,0.17
10833,no,yes,0.35
10834,no,no,0.12
10835,no,no,0.17
10836,no,no,0.12
10837,no,yes,0.39
10838,no,no,0.2
10839,no,no,0.17
10840,no,no,0.18
10841,no,no,0.16
10842,no,no,0.15
10843,no,no,0.18
10844,no,no,0.15
10845,no,no,0.2
10846,no,no,0.19
10847,no,no,0.18
10848,no,no,0.13
10849,no,no,0.17
10850,no,no,0.15
10851,no,yes,0.4
10852,no,no,0.13
10853,no,no,0.15
10854,no,no,0.17
10855,no,no,0.1
10856,no,yes,0.34
10857,no,no,0.11
10858,no,yes,0.34
10859,no,no,0.1
10860,no,no,0.13
10861,no,no,0.1
10862,no,no,0.1
10863,no,no,0.1
10864,no,no,0.16
10865,no,no,0.15
10866,no,no,0.11
10867,no,no,0.18
10868,no,no,0.17
10869,no,no,0.15
10870,no,no,0.15
10871,yes,no,0.52
10872,no,no,0.17
10873,no,no,0.18
10874,no,no,0.14
10875,no,no,0.17
10876,no,no,0.13
10877,no,no,0.17
10878,no,no,0.18
10879,no,no,0.1
10880,no,no,0.12
10881,no,no,0.19
10882,no,no,0.16
10883,no,no,0.14
10884,no,no,0.14
10885,no,yes,0.34
10886,no,no,0.1
10887,no,no,0.1
10888,no,no,0.17
10889,no,no,0.13
10890,no,no,0.16
10891,no,no,0.13
10892,no,no,0.16
10893,no,no,0.1
10894,no,yes,0.32
10895,no,no,0.13
10896,no,no,0.17
10897,no,no,0.11
10898,no,no,0.2
10899,no,no,0.18
10900,no,no,0.1
10901,no,no,0.1
10902,no,no,0.15
10903,no,yes,0.4
10904,no,yes,0.35
10905,no,yes,0.38
10906,no,no,0.17
10907,no,no,0.18
10908,no,no,0.13
10909,no,no,0.11
10910,no,no,0.15
10911,no,no,0.13
10912,no,no,0.13
10913,no,no,0.14
10914,no,no,0.17
10915,no,no,0.16
10916,no,no,0.1
10917,no,no,0.17
10918,no,no,0.2
10919,no,yes,0.4
10920,no,yes,0.31
10921,no,no,0.1
10922,no,no,0.15
10923,no,yes,0.34
10924,no,no,0.15
10925,no,no,0.17
10926,no,yes,0.38
10927,no,no,0.16
10928,no,no,0.15
10929,no,no,0.16
10930,no,no,0.12
10931,no,no,0.19
10932,no,no,0.16
10933,no,no,0.18
10934,no,no,0.17
10935,no,no,0.1
10936,no,no,0.16
10937,no,no,0.11
10938,no,no,0.18
10939,no,no,0.19
10940,no,no,0.1
10941,no,yes,0.37
10942,no,no,0.17
10943,no,no,0.16
10944,no,no,0.19
10945,no,no,0.19
10946,no,no,0.19
10947,yes,no,0.58
10948,yes,no,0.6
10949,no,no,0.16
10950,no,no,0.16
10951,no,no,0.14
10952,no,no,0.14
10953,no,no,0.14
10954,no,no,0.1
10955,no,no,0.11
10956,no,no,0.11
10957,no,no,0.11
10958,no,yes,0.33
10959,yes,no,0.54
10960,no,no,0.18
10961,no,no,0.13
10962,no,no,0.11
10963,no,no,0.16
10964,no,no,0.18
10965,no,no,0.14
10966,no,no,0.2
10967,no,no,0.14
10968,no,no,0.11
10969,no,no,0.1
10970,yes,no,0.59
10971,no,no,0.16
10972,no,no,0.13
10973,no,yes,0.3
10974,no,no,0.12
10975,no,no,0.12
10976,no,no,0.1
10977,no,no,0.1
10978,no,no,0.16
10979,no,no,0.12
10980,no,yes,0.36
10981,no,yes,0.31
10982,no,no,0.14
10983,no,no,0.14
10984,no,no,0.17
10985,no,no,0.18
10986,yes,no,0.52
10987,no,no,0.12
10988,no,no,0.18
10989,yes,no,0.51
10990,no,no,0.18
10991,no,no,0.17
10992,no,no,0.17
10993,no,yes,0.32
10994,no,no,0.15
10995,no,no,0.12
10996,no,no,0.17
10997,no,no,0.16
10998,no,no,0.16
10999,no,no,0.11
11000,no,no,0.19
11001,no,no,0.16
11002,no,yes,0.38
11003,no,no,0.19
11004,no,no,0.1
11005,no,no,0.19
11006,no,yes,0.37
11007,no,yes,0.38
11008,no,no,0.18
11009,no,no,0.11
11010,no,yes,0.35
11011,no,no,0.14
11012,no,no,0.16
11013,no,no,0.1
11014,no,no,0.12
11015,no,yes,0.31
11016,no,no,0.14
11017,no,no,0.17
11018,no,yes,0.31
11019,no,no,0.14
11020,no,no,0.1
11021,no,no,0.14
11022,no,no,0.14
11023,no,yes,0.4
11024,no,no,0.12
11025,no,no,0.2
11026,no,no,0.12
11027,no,no,0.1
11028,no,no,0.16
11029,no,yes,0.32
11030,no,no,0.11
11031,no,no,0.14
11032,no,no,0.13
11033,no,no,0.15
11034,no,no,0.19
11035,no,no,0.2
11036,no,no,0.2
11037,no,no,0.12
11038,no,no,0.13
11039,no,no,0.17
11040,no,no,0.15
11041,no,yes,0.37
11042,no,no,0.13
11043,no,no,0.11
11044,no,no,0.2
11045,no,no,0.13
11046,no,no,0.2
11047,no,no,0.19
11048,no,yes,0.33
11049,no,yes,0.35
11050,no,no,0.11
11051,no,no,0.2
11052,no,no,0.17
11053,no,no,0.13
11054,no,no,0.15
11055,no,yes,0.38
11056,no,no,0.15
11057,no,no,0.15
11058,no,yes,0.31
11059,no,no,0.19
11060,no,no,0.12
11061,no,no,0.19
11062,no,no,0.16
11063,no,no,0.15
11064,no,no,0.11
11065,no,no,0.17
11066,no,no,0.13
11067,no,yes,0.4
11068,no,no,0.13
11069,no,no,0.15
11070,no,no,0.19
11071,no,no,0.16
11072,no,no,0.11
11073,no,no,0.12
11074,no,no,0.14
11075,no,no,0.17
11076,no,no,0.11
11077,no,no,0.16
11078,no,no,0.17
11079,no,no,0.16
11080,no,no,0.15
11081,no,no,0.14
11082,no,no,0.13
11083,no,no,0.18
11084,no,no,0.11
11085,no,no,0.1
11086,no,yes,0.31
11087,no,no,0.11
11088,no,yes,0.39
11089,no,no,0.16
11090,no,no,0.2
11091,no,no,0.1
11092,no,no,0.13
11093,no,no,0.1
11094,no,no,0.2
11095,no,no,0.13
11096,no,no,0.16
11097,no,no,0.16
11098,no,yes,0.35
11099,no,no,0.18
11100,no,no,0.16
11101,no,no,0.17
11102,no,no,0.15
11103,no,no,0.15
11104,no,no,0.1
11105,no,no,0.16
11106,no,no,0.12
11107,no,no,0.15
11108,no,no,0.18
11109,no,yes,0.37
11110,no,no,0.18
11111,no,no,0.13
11112,no,yes,0.4
11113,no,no,0.16
11114,no,no,0.19
11115,yes,no,0.5
11116,no,no,0.12
11117,no,no,0.1
11118,no,no,0.12
11119,yes,no,0.59
11120,no,no,0.12
11121,no,no,0.1
11122,no,no,0.11
11123,no,no,0.15
11124,no,no,0.15
11125,no,no,0.11
11126,no,no,0.15
11127,yes,no,0.54
11128,no,no,0.14
11129,no,no,0.2
11130,no,no,0.16
11131,no,yes,0.33
11132,no,no,0.15
11133,no,yes,0.37
11134,no,no,0.1
11135,no,yes,0.39
11136,no,no,0.17
11137,no,yes,0.31
11138,no,yes,0.37
11139,no,no,0.2
11140,no,no,0.12
11141,no,no,0.11
11142,no,no,0.16
11143,no,no,0.18
11144,no,yes,0.38
11145,no,no,0.12
11146,yes,no,0.52
11147,no,no,0.19
11148,no,yes,0.37
11149,no,yes,0.31
11150,no,no,0.16
11151,no,no,0.12
11152,no,no,0.1
11153,no,no,0.11
11154,no,no,0.12
11155,no,no,0.12
11156,no,no,0.12
11157,no,no,0.18
11158,no,no,0.18
11159,no,no,0.15
11160,no,no,0.13
11161,no,no,0.19
11162,no,no,0.14
11163,no,no,0.15
11164,no,no,0.2
11165,no,yes,0.33
11166,no,no,0.2
11167,no,no,0.1
11168,no,no,0.2
11169,no,no,0.15
11170,no,no,0.1
11171,no,no,0.1
11172,no,no,0.12
11173,no,no,0.14
11174,no,no,0.19
11175,no,no,0.15
11176,no,no,0.13
11177,no,yes,0.36
11178,no,yes,0.34
11179,no,no,0.19
11180,no,no,0.15
11181,no,yes,0.34
11182,no,no,0.17
11183,no,no,0.13
11184,no,no,0.13
11185,no,yes,0.34
11186,no,no,0.15
11187,yes,no,0.54
11188,no,no,0.19
11189,no,yes,0.39
11190,no,no,0.15
11191,no,yes,0.3
11192,yes,no,0.53
11193,no,no,0.19
11194,no,no,0.11
11195,no,no,0.18
11196,no,no,0.1
11197,no,no,0.2
11198,no,no,0.12
11199,no,no,0.16
11200,no,no,0.19
11201,no,no,0.13
11202,no,yes,0.39
11203,no,no,0.1
11204,no,no,0.14
11205,no,no,0.11
11206,no,no,0.14
11207,no,no,0.11
11208,no,no,0.13
11209,no,no,0.2
11210,no,no,0.14
11211,no,no,0.12
11212,no,no,0.14
11213,yes,no,0.51
11214,no,no,0.12
11215,no,no,0.2
11216,no,no,0.2
11217,no,no,0.1
11218,no,no,0.18
11219,no,no,0.17
11220,no,no,0.11
11221,no,no,0.12
11222,no,no,0.19
11223,no,no,0.18
11224,no,no,0.17
11225,no,no,0.16
11226,no,yes,0.38
11227,no,no,0.18
11228,no,no,0.13
11229,no,yes,0.38
11230,no,no,0.16
11231,no,no,0.15
11232,no,no,0.2
11233,no,no,0.13
11234,no,no,0.13
11235,no,no,0.16
11236,no,no,0.16
11237,no,no,0.17
11238,no,no,0.16
11239,no,no,0.2
11240,no,no,0.2
11241,no,no,0.14
11242,no,no,0.15
11243,no,no,0.16
11244,no,no,0.18
11245,no,no,0.12
11246,no,no,0.11
11247,no,no,0.15
11248,no,no,0.12
11249,no,no,0.16
11250,no,no,0.12
11251,yes,no,0.56
11252,yes,yes,0.71
11253,no,no,0.12
11254,yes,no,0.55
11255,no,no,0.11
11256,no,no,0.13
11257,no,no,0.17
11258,no,no,0.12
11259,no,no,0.18
11260,no,no,0.18
11261,no,no,0.13
11262,no,yes,0.38
11263,no,no,0.14
11264,no,no,0.17
11265,no,no,0.16
11266,no,no,0.18
11267,no,no,0.11
11268,no,no,0.11
11269,no,no,0.2
11270,no,no,0.14
11271,no,no,0.16
11272,no,no,0.16
11273,no,no,0.17
11274,no,yes,0.4
11275,no,no,0.1
11276,no,no,0.11
11277,no,no,0.15
11278,no,yes,0.33
11279,no,no,0.12
11280,no,no,0.1
11281,no,no,0.14
11282,no,no,0.13
11283,no,yes,0.31
11284,yes,no,0.57
11285,no,yes,0.31
11286,no,no,0.14
11287,yes,no,0.54
11288,no,no,0.14
11289,no,no,0.11
11290,no,no,0.16
11291,no,no,0.16
11292,no,no,0.11
11293,no,no,0.15
11294,no,no,0.16
11295,no,no,0.11
11296,no,no,0.1
11297,no,no,0.1
11298,no,no,0.15
11299,no,no,0.17
11300,no,no,0.18
11301,no,no,0.11
11302,no,no,0.19
11303,no,no,0.11
11304,no,no,0.16
11305,no,no,0.2
11306,no,no,0.14
11307,no,no,0.13
11308,no,no,0.14
11309,no,no,0.14
11310,no,no,0.17
11311,no,no,0.19
11312,no,no,0.16
11313,no,no,0.13
11314,no,no,0.17
11315,no,no,0.15
11316,yes,no,0.55
11317,no,no,0.15
11318,no,no,0.18
11319,no,no,0.13
11320,no,no,0.11
11321,no,no,0.11
11322,no,no,0.16
11323,no,no,0.12
11324,no,no,0.16
11325,no,no,0.16
11326,no,yes,0.3
11327,no,yes,0.3
11328,no,no,0.11
11329,no,no,0.2
11330,no,no,0.13
11331,no,no,0.16
11332,no,yes,0.4
11333,no,no,0.19
11334,no,no,0.14
11335,yes,no,0.5
11336,no,yes,0.33
11337,no,no,0.14
11338,no,no,0.19
11339,no,no,0.2
11340,no,yes,0.36
11341,no,no,0.19
11342,no,no,0.17
11343,no,no,0.19
11344,no,yes,0.36
11345,no,no,0.13
11346,no,no,0.16
11347,no,no,0.14
11348,no,no,0.16
11349,no,no,0.18
11350,no,yes,0.33
11351,yes,yes,0.72
11352,no,no,0.16
11353,no,no,0.1
11354,no,no,0.1
11355,no,no,0.18
11356,no,no,0.18
11357,no,no,0.11
11358,no,no,0.13
11359,no,no,0.15
11360,no,no,0.2
11361,no,no,0.11
11362,no,yes,0.37
11363,no,no,0.1
11364,no,no,0.19
11365,no,no,0.13
11366,no,no,0.18
11367,no,no,0.19
11368,no,no,0.1
11369,no,no,0.13
11370,no,no,0.18
11371,no,no,0.1
11372,no,no,0.1
11373,no,no,0.17
11374,no,no,0.1
11375,no,no,0.17
11376,no,no,0.1
11377,no,no,0.12
11378,no,no,0.16
11379,no,no,0.19
11380,no,no,0.14
11381,no,yes,0.3
11382,no,no,0.11
11383,no,no,0.11
11384,no,no,0.16
11385,no,no,0.11
11386,no,no,0.16
11387,no,no,0.15
11388,no,no,0.15
11389,no,yes,0.36
11390,no,no,0.15
11391,no,no,0.13
11392,no,no,0.19
11393,no,no,0.18
11394,no,no,0.11
11395,no,no,0.2
11396,no,no,0.17
11397,no,no,0.19
11398,no,no,0.16
11399,no,no,0.11
11400,no,no,0.14
11401,no,no,0.16
11402,no,no,0.14
11403,no,no,0.17
11404,no,no,0.1
11405,no,yes,0.4
11406,no,no,0.15
11407,no,yes,0.35
11408,no,no,0.18
11409,no,yes,0.39
11410,no,no,0.15
11411,no,no,0.18
11412,no,no,0.14
11413,no,no,0.16
11414,no,no,0.13
11415,no,no,0.16
11416,no,no,0.13
11417,no,no,0.19
11418,no,no,0.17
11419,no,no,0.15
11420,no,no,0.2
11421,no,yes,0.32
11422,no,yes,0.36
11423,no,no,0.18
11424,no,no,0.1
11425,no,yes,0.36
11426,no,no,0.2
11427,no,no,0.15
11428,no,yes,0.31
11429,no,no,0.16
11430,no,no,0.2
11431,no,no,0.13
11432,no,no,0.2
11433,no,no,0.15
11434,no,no,0.13
11435,no,no,0.14
11436,no,no,0.2
11437,no,no,0.14
11438,no,no,0.16
11439,no,no,0.13
11440,no,no,0.2
11441,no,no,0.16
11442,no,no,0.18
11443,no,no,0.13
11444,no,no,0.17
11445,no,no,0.11
11446,no,no,0.16
11447,no,no,0.11
11448,yes,no,0.58
11449,no,no,0.16
11450,yes,no,0.52
11451,no,no,0.14
11452,no,no,0.2
11453,no,no,0.13
11454,no,no,0.18
11455,no,no,0.17
11456,no,no,0.11
11457,no,no,0.1
11458,no,yes,0.34
11459,no,no,0.16
11460,no,no,0.14
11461,no,yes,0.38
11462,no,no,0.12
11463,no,no,0.15
11464,no,no,0.11
11465,no,no,0.13
11466,no,no,0.13
11467,no,no,0.17
11468,no,no,0.1
11469,no,yes,0.34
11470,yes,yes,0.74
11471,no,no,0.15
11472,no,no,0.13
11473,no,no,0.16
11474,no,no,0.17
11475,no,no,0.16
11476,no,no,0.11
11477,no,no,0.14
11478,no,no,0.13
11479,no,yes,0.35
11480,no,yes,0.36
11481,no,no,0.15
11482,no,no,0.18
11483,no,no,0.13
11484,no,no,0.15
11485,no,no,0.13
11486,no,yes,0.3
11487,no,no,0.1
11488,no,no,0.19
11489,no,no,0.13
11490,no,no,0.13
11491,no,yes,0.38
11492,no,no,0.15
11493,no,no,0.15
11494,no,no,0.2
11495,no,yes,0.38
11496,no,no,0.2
11497,no,yes,0.4
11498,no,no,0.12
11499,no,yes,0.39
11500,no,no,0.12
11501,no,no,0.18
11502,no,no,0.15
11503,no,no,0.16
11504,no,yes,0.39
11505,no,no,0.17
11506,no,no,0.13
11507,yes,no,0.5
11508,no,yes,0.3
11509,no,no,0.19
11510,yes,no,0.51
11511,no,no,0.1
11512,no,yes,0.38
11513,no,no,0.15
11514,no,yes,0.39
11515,yes,no,0.54
11516,no,no,0.12
11517,no,no,0.15
11518,no,no,0.19
11519,yes,no,0.5
11520,no,no,0.2
11521,no,no,0.13
11522,no,yes,0.37
11523,no,no,0.19
11524,no,no,0.16
11525,no,no,0.13
11526,yes,no,0.52
11527,no,no,0.12
11528,no,no,0.12
11529,no,no,0.2
11530,no,no,0.18
11531,no,no,0.17
11532,no,no,0.1
11533,no,no,0.18
11534,no,no,0.13
11535,no,yes,0.36
11536,no,yes,0.34
11537,no,no,0.19
11538,no,no,0.18
11539,no,no,0.12
11540,no,no,0.15
11541,no,yes,0.35
11542,no,no,0.12
11543,no,no,0.15
11544,no,no,0.16
11545,no,no,0.12
11546,yes,no,0.52
11547,no,no,0.15
11548,no,no,0.16
11549,no,no,0.14
11550,no,no,0.18
11551,no,no,0.16
11552,no,no,0.19
11553,no,no,0.12
11554,no,no,0.12
11555,no,no,0.15
11556,no,no,0.13
11557,no,no,0.17
11558,no,no,0.2
11559,no,no,0.16
11560,no,no,0.17
11561,no,no,0.19
11562,no,no,0.2
11563,no,yes,0.36
11564,no,yes,0.39
11565,no,no,0.11
11566,no,no,0.14
11567,no,yes,0.3
11568,no,no,0.15
11569,no,no,0.2
11570,no,no,0.14
11571,no,no,0.12
11572,no,no,0.14
11573,no,no,0.18
11574,no,yes,0.36
11575,no,yes,0.32
11576,no,no,0.11
11577,no,no,0.19
11578,no,no,0.11
11579,no,no,0.1
11580,no,no,0.19
11581,no,no,0.18
11582,no,no,0.18
11583,no,no,0.14
11584,no,no,0.19
11585,no,no,0.1
11586,no,no,0.11
11587,no,yes,0.36
11588,no,no,0.12
11589,no,no,0.13
11590,yes,no,0.56
11591,no,no,0.14
11592,no,no,0.18
11593,no,yes,0.33
11594,no,no,0.12
11595,no,no,0.12
11596,no,no,0.14
11597,no,no,0.19
11598,no,no,0.13
11599,no,no,0.13
11600,no,no,0.19
11601,no,no,0.17
11602,no,no,0.17
11603,no,no,0.15
11604,no,yes,0.36
11605,no,no,0.1
11606,no,no,0.18
11607,no,yes,0.33
11608,no,no,0.2
11609,no,no,0.1
11610,no,no,0.13
11611,no,no,0.13
11612,no,no,0.15
11613,no,no,0.13
11614,no,no,0.11
11615,no,no,0.14
11616,no,no,0.16
11617,yes,no,0.6
11618,yes,no,0.5
11619,yes,no,0.55
11620,no,yes,0.33
11621,no,no,0.2
11622,yes,no,0.6
11623,no,no,0.18
11624,no,no,0.11
11625,no,no,0.11
11626,no,no,0.19
11627,no,no,0.19
11628,no,no,0.17
11629,no,no,0.14
11630,no,no,0.19
11631,yes,no,0.58
11632,no,no,0.1
11633,no,no,0.12
11634,no,no,0.12
11635,no,no,0.16
11636,no,no,0.16
11637,no,no,0.1
11638,no,no,0.12
11639,no,no,0.12
11640,no,no,0.14
11641,no,no,0.11
11642,no,no,0.12
11643,no,no,0.14
11644,no,no,0.18
11645,no,no,0.12
11646,no,yes,0.37
11647,no,no,0.15
11648,no,no,0.15
11649,no,no,0.17
11650,no,no,0.15
11651,no,no,0.16
11652,no,no,0.14
11653,no,no,0.13
11654,no,no,0.17
11655,no,no,0.14
11656,no,no,0.16
11657,no,no,0.13
11658,no,no,0.1
11659,no,no,0.18
11660,no,no,0.19
11661,no,no,0.19
11662,no,no,0.14
11663,no,no,0.13
11664,no,no,0.14
11665,no,no,0.17
11666,no,no,0.2
11667,no,no,0.16
11668,no,no,0.11
11669,no,no,0.2
11670,no,no,0.19
11671,no,no,0.19
11672,no,no,0.18
11673,no,no,0.14
11674,no,no,0.14
11675,no,no,0.18
11676,no,no,0.14
11677,no,no,0.16
11678,no,yes,0.38
11679,no,no,0.19
11680,no,yes,0.37
11681,no,yes,0.34
11682,no,no,0.13
11683,no,no,0.1
11684,no,yes,0.36
11685,no,yes,0.34
11686,no,yes,0.4
11687,no,yes,0.33
11688,no,yes,0.3
11689,no,yes,0.39
11690,no,no,0.17
11691,no,no,0.17
11692,no,no,0.12
11693,no,no,0.18
11694,no,no,0.11
11695,no,no,0.15
11696,no,no,0.14
11697,no,no,0.15
11698,no,no,0.18
11699,no,no,0.16
11700,no,no,0.19
11701,no,yes,0.33
11702,yes,no,0.57
11703,no,yes,0.35
11704,no,no,0.18
11705,no,no,0.18
11706,no,no,0.18
11707,no,no,0.19
11708,no,no,0.13
11709,no,yes,0.37
11710,no,no,0.13
11711,yes,no,0.55
11712,no,no,0.17
11713,no,yes,0.31
11714,no,no,0.12
11715,yes,no,0.55
11716,no,no,0.2
11717,no,no,0.15
11718,no,no,0.15
11719,no,no,0.17
11720,no,no,0.13
11721,no,no,0.16
11722,no,no,0.17
11723,no,no,0.14
11724,no,no,0.12
11725,yes,yes,0.79
11726,no,no,0.14
11727,no,no,0.11
11728,no,no,0.13
11729,no,no,0.18
11730,no,yes,0.34
11731,no,no,0.1
11732,no,no,0.1
11733,no,no,0.13
11734,no,no,0.1
11735,yes,no,0.56
11736,no,no,0.15
11737,no,yes,0.33
11738,no,no,0.16
11739,yes,no,0.54
11740,yes,no,0.52
11741,no,no,0.17
11742,no,no,0.17
11743,no,yes,0.4
11744,no,no,0.12
11745,no,no,0.18
11746,no,no,0.15
11747,no,no,0.16
11748,no,no,0.1
11749,no,no,0.19
11750,no,yes,0.37
11751,no,yes,0.36
11752,no,no,0.17
11753,no,no,0.16
11754,no,no,0.18
11755,no,no,0.11
11756,no,no,0.16
11757,no,no,0.11
11758,no,yes,0.3
11759,no,no,0.11
11760,no,no,0.15
11761,no,yes,0.4
11762,yes,yes,0.71
11763,no,no,0.18
11764,no,no,0.11
11765,no,no,0.16
11766,no,no,0.16
11767,no,no,0.2
11768,no,yes,0.37
11769,no,no,0.11
11770,no,no,0.14
11771,no,no,0.15
11772,no,no,0.2
11773,no,no,0.16
11774,no,no,0.13
11775,no,no,0.14
11776,no,yes,0.39
11777,yes,yes,0.76
11778,no,no,0.16
11779,no,no,0.2
11780,no,no,0.16
11781,yes,yes,0.79
11782,no,no,0.17
11783,no,no,0.19
11784,no,no,0.16
11785,no,no,0.18
11786,no,no,0.15
11787,no,no,0.15
11788,no,no,0.13
11789,no,no,0.13
11790,no,no,0.13
11791,no,no,0.18
11792,no,no,0.1
11793,no,no,0.16
11794,no,no,0.2
11795,no,no,0.12
11796,no,no,0.18
11797,no,no,0.2
11798,no,no,0.13
11799,no,no,0.2
11800,no,no,0.14
11801,no,no,0.14
11802,no,no,0.16
11803,no,no,0.2
11804,no,no,0.18
11805,no,no,0.15
11806,no,no,0.11
11807,no,yes,0.31
11808,no,yes,0.4
11809,no,no,0.2
11810,no,no,0.12
11811,no,no,0.1
11812,no,no,0.1
11813,no,no,0.18
11814,no,no,0.16
11815,no,no,0.17
11816,no,no,0.16
11817,no,no,0.18
11818,no,yes,0.4
11819,yes,no,0.52
11820,no,yes,0.35
11821,no,no,0.16
11822,no,no,0.2
11823,no,no,0.14
11824,no,no,0.17
11825,no,yes,0.37
11826,no,no,0.1
11827,no,no,0.12
11828,no,no,0.18
11829,no,yes,0.39
11830,no,yes,0.38
11831,no,no,0.14
11832,no,no,0.13
11833,no,no,0.16
11834,no,no,0.16
11835,no,no,0.12
11836,no,no,0.17
11837,no,no,0.16
11838,yes,no,0.5
11839,no,no,0.16
11840,no,no,0.14
11841,yes,yes,0.78
11842,no,no,0.14
11843,no,no,0.12
11844,no,no,0.19
11845,no,yes,0.35
11846,yes,yes,0.73
11847,no,no,0.16
11848,no,no,0.12
11849,no,no,0.15
11850,no,no,0.14
11851,no,no,0.19
11852,no,no,0.19
11853,no,no,0.13
11854,no,no,0.12
11855,no,no,0.15
11856,no,yes,0.33
11857,no,yes,0.37
11858,no,no,0.19
11859,yes,yes,0.74
11860,no,no,0.18
11861,no,no,0.17
11862,no,no,0.2
11863,no,yes,0.39
11864,no,no,0.12
11865,yes,no,0.54
11866,no,no,0.18
11867,no,no,0.16
11868,no,no,0.19
11869,no,no,0.14
11870,no,no,0.11
11871,no,no,0.13
11872,no,no,0.19
11873,no,no,0.15
11874,no,no,0.16
11875,no,yes,0.4
11876,no,no,0.19
11877,no,no,0.11
11878,no,no,0.12
11879,no,yes,0.33
11880,no,no,0.11
11881,no,yes,0.4
11882,no,no,0.11
11883,no,no,0.18
11884,no,no,0.2
11885,no,no,0.12
11886,no,no,0.18
11887,no,yes,0.4
11888,no,no,0.17
11889,no,no,0.2
11890,no,yes,0.33
11891,no,no,0.16
11892,no,no,0.11
11893,no,no,0.15
11894,no,no,0.15
11895,no,no,0.11
11896,no,no,0.16
11897,no,no,0.12
11898,no,no,0.2
11899,no,no,0.14
11900,no,no,0.1
11901,no,no,0.13
11902,no,no,0.14
11903,no,no,0.14
11904,no,no,0.12
11905,no,no,0.18
11906,no,no,0.19
11907,no,no,0.13
11908,no,no,0.12
