,loan,balance,y,bank_arg1
7297,no,895,no,0.13
7298,no,-413,no,0.2
7299,no,914,no,0.13
7300,no,1202,no,0.13
7301,no,0,no,0.14
7302,no,5801,no,0.14
7303,yes,799,no,0.34
7304,no,5342,no,0.2
7305,no,943,no,0.16
7306,yes,455,no,0.39
7307,no,340,no,0.2
7308,no,5310,no,0.11
7309,no,556,no,0.2
7310,no,-261,no,0.15
7311,no,481,no,0.19
7312,no,2015,no,0.11
7313,no,691,no,0.15
7314,no,1544,no,0.2
7315,yes,219,no,0.35
7316,no,828,no,0.14
7317,no,356,no,0.2
7318,no,195,no,0.19
7319,no,2076,no,0.12
7320,no,2399,no,0.17
7321,no,0,no,0.12
7322,yes,1731,no,0.33
7323,no,97,no,0.17
7324,no,127,yes,0.57
7325,no,0,no,0.12
7326,yes,0,no,0.34
7327,no,1788,no,0.11
7328,no,1365,no,0.14
7329,no,1,no,0.12
7330,no,2940,no,0.13
7331,no,-1485,no,0.19
7332,no,8794,no,0.18
7333,no,239,no,0.11
7334,no,12956,yes,0.53
7335,no,367,no,0.17
7336,no,869,no,0.16
7337,no,1778,no,0.19
7338,no,3112,no,0.17
7339,no,4585,no,0.1
7340,no,223,no,0.11
7341,no,254,no,0.15
7342,no,219,no,0.13
7343,no,1900,no,0.2
7344,no,885,no,0.13
7345,yes,-1312,no,0.37
7346,no,1294,no,0.11
7347,yes,1268,no,0.39
7348,no,873,yes,0.56
7349,no,11,no,0.13
7350,yes,3350,no,0.3
7351,no,-116,no,0.13
7352,no,2457,no,0.18
7353,no,612,no,0.13
7354,yes,7712,no,0.31
7355,no,1123,no,0.17
7356,yes,856,no,0.35
7357,no,19,no,0.14
7358,no,3348,no,0.17
7359,no,21,no,0.14
7360,no,256,no,0.18
7361,no,500,no,0.14
7362,no,16992,no,0.2
7363,no,2931,no,0.1
7364,no,3032,no,0.11
7365,no,12,no,0.18
7366,no,2530,no,0.17
7367,no,646,no,0.17
7368,no,45,no,0.15
7369,no,1180,no,0.16
7370,no,498,no,0.17
7371,yes,738,no,0.39
7372,no,675,no,0.18
7373,no,581,no,0.17
7374,yes,1065,no,0.37
7375,yes,10,no,0.36
7376,no,1491,no,0.16
7377,no,-151,no,0.19
7378,no,179,no,0.2
7379,no,594,yes,0.59
7380,no,381,no,0.16
7381,no,2488,no,0.14
7382,no,222,no,0.14
7383,no,-252,no,0.14
7384,no,870,no,0.19
7385,no,429,no,0.16
7386,no,1093,no,0.16
7387,no,684,no,0.1
7388,yes,0,no,0.39
7389,no,747,no,0.12
7390,no,623,no,0.17
7391,no,1131,no,0.13
7392,no,1550,no,0.19
7393,no,1929,no,0.13
7394,no,9767,no,0.11
7395,no,963,no,0.2
7396,yes,92,no,0.35
7397,no,795,no,0.1
7398,no,3283,no,0.19
7399,no,-158,no,0.13
7400,no,0,no,0.17
7401,no,891,no,0.15
7402,no,1844,no,0.19
7403,no,94,no,0.18
7404,no,-113,no,0.18
7405,no,0,no,0.16
7406,no,472,no,0.19
7407,no,976,no,0.14
7408,no,233,no,0.13
7409,no,807,no,0.17
7410,yes,142,no,0.37
7411,yes,1731,no,0.31
7412,yes,2749,no,0.36
7413,no,-3372,no,0.14
7414,no,100,no,0.13
7415,no,149,no,0.1
7416,no,53,no,0.1
7417,no,5788,no,0.15
7418,no,99,no,0.17
7419,no,90,no,0.13
7420,no,6332,no,0.19
7421,no,1429,no,0.16
7422,no,835,no,0.17
7423,yes,-169,no,0.4
7424,no,0,no,0.13
7425,no,479,no,0.12
7426,no,869,no,0.2
7427,yes,0,no,0.33
7428,no,-125,no,0.14
7429,no,522,no,0.2
7430,no,404,no,0.1
7431,yes,524,no,0.39
7432,no,0,no,0.15
7433,no,-276,no,0.14
7434,no,107,no,0.13
7435,no,1798,no,0.1
7436,no,457,no,0.1
7437,no,1086,no,0.16
7438,no,4265,no,0.14
7439,no,5244,no,0.12
7440,no,0,no,0.17
7441,no,0,no,0.13
7442,no,762,no,0.18
7443,no,51,no,0.13
7444,no,32,no,0.13
7445,no,2,no,0.18
7446,no,960,no,0.1
7447,yes,211,no,0.4
7448,yes,0,no,0.32
7449,no,3163,no,0.13
7450,no,1041,no,0.17
7451,no,714,no,0.13
7452,no,705,no,0.13
7453,no,1053,no,0.17
7454,no,1366,no,0.19
7455,no,1171,no,0.13
7456,no,9976,no,0.15
7457,no,-20,yes,0.52
7458,no,285,no,0.13
7459,no,844,no,0.19
7460,no,4692,yes,0.56
7461,yes,205,no,0.32
7462,no,298,no,0.13
7463,no,203,no,0.15
7464,no,1031,yes,0.53
7465,yes,-235,no,0.33
7466,no,629,no,0.15
7467,no,125,no,0.12
7468,no,95,no,0.19
7469,no,2201,no,0.16
7470,no,406,no,0.19
7471,no,0,no,0.2
7472,no,357,no,0.1
7473,no,0,no,0.18
7474,no,271,no,0.18
7475,yes,1576,no,0.31
7476,no,0,no,0.17
7477,yes,88,no,0.4
7478,no,4299,no,0.14
7479,no,287,no,0.17
7480,no,486,yes,0.54
7481,no,1593,yes,0.57
7482,no,1852,no,0.11
7483,no,63,no,0.11
7484,no,17,no,0.15
7485,no,1689,no,0.15
7486,no,0,no,0.19
7487,yes,-181,no,0.39
7488,yes,2527,no,0.33
7489,no,544,no,0.13
7490,no,795,no,0.18
7491,no,3499,no,0.14
7492,no,1253,no,0.13
7493,no,-81,no,0.16
7494,no,196,no,0.2
7495,no,1100,no,0.15
7496,no,425,no,0.1
7497,no,17,no,0.12
7498,no,222,no,0.18
7499,yes,496,no,0.34
7500,no,6836,no,0.16
7501,no,3516,no,0.14
7502,no,-1168,no,0.2
7503,no,-502,no,0.17
7504,no,163,no,0.11
7505,no,3087,no,0.11
7506,no,3610,no,0.12
7507,no,1298,no,0.2
7508,yes,3886,no,0.39
7509,no,-431,no,0.11
7510,no,172,no,0.18
7511,no,171,no,0.19
7512,no,6251,no,0.17
7513,no,385,no,0.18
7514,no,561,no,0.15
7515,no,2764,no,0.12
7516,yes,1600,no,0.36
7517,no,1345,no,0.15
7518,no,378,no,0.16
7519,no,-476,no,0.12
7520,no,-715,no,0.15
7521,no,2885,no,0.18
7522,no,476,no,0.11
7523,no,2501,no,0.2
7524,no,7,no,0.12
7525,no,331,no,0.13
7526,no,1785,no,0.12
7527,no,1757,no,0.1
7528,no,604,no,0.19
7529,no,1732,no,0.18
7530,yes,1898,no,0.3
7531,no,1959,no,0.13
7532,no,949,no,0.14
7533,no,601,no,0.15
7534,no,11804,no,0.19
7535,yes,548,no,0.35
7536,no,563,no,0.2
7537,no,471,no,0.14
7538,no,490,no,0.17
7539,no,428,no,0.1
7540,no,1226,no,0.12
7541,no,5669,no,0.11
7542,no,923,no,0.2
7543,no,7606,yes,0.57
7544,no,864,no,0.13
7545,yes,-599,no,0.35
7546,yes,473,no,0.32
7547,yes,237,no,0.32
7548,no,-338,no,0.18
7549,no,757,no,0.1
7550,no,-442,no,0.18
7551,no,1255,no,0.2
7552,no,1790,no,0.17
7553,no,68,no,0.17
7554,no,-389,no,0.16
7555,no,5637,yes,0.51
7556,yes,1807,no,0.35
7557,no,0,no,0.11
7558,no,3629,no,0.1
7559,no,2440,no,0.15
7560,no,1854,no,0.1
7561,no,931,no,0.13
7562,no,146,no,0.13
7563,no,11528,no,0.2
7564,no,0,no,0.11
7565,no,293,no,0.2
7566,no,987,no,0.17
7567,no,1877,no,0.18
7568,no,685,no,0.16
7569,no,4425,no,0.15
7570,no,-430,no,0.15
7571,no,512,no,0.17
7572,no,410,no,0.11
7573,no,3950,no,0.12
7574,no,1559,no,0.17
7575,no,267,no,0.14
7576,no,840,no,0.2
7577,no,713,no,0.11
7578,no,882,no,0.16
7579,no,130,no,0.13
7580,no,1659,no,0.1
7581,no,3246,no,0.18
7582,no,30,no,0.1
7583,yes,-28,no,0.3
7584,no,52,no,0.1
7585,no,818,no,0.14
7586,no,686,no,0.16
7587,no,2909,no,0.2
7588,no,1093,no,0.12
7589,no,1607,no,0.1
7590,no,226,yes,0.53
7591,no,-65,no,0.19
7592,no,4,no,0.12
7593,no,1034,no,0.19
7594,no,-63,no,0.1
7595,no,737,no,0.19
7596,no,8131,no,0.14
7597,no,0,no,0.11
7598,no,0,no,0.12
7599,yes,1227,no,0.38
7600,no,508,no,0.11
7601,no,-147,no,0.11
7602,no,0,no,0.11
7603,no,828,no,0.12
7604,no,1202,no,0.1
7605,yes,1405,no,0.39
7606,no,2620,no,0.13
7607,no,74,no,0.18
7608,no,1874,no,0.15
7609,no,396,no,0.1
7610,no,569,no,0.15
7611,yes,366,yes,0.73
7612,no,428,no,0.19
7613,no,413,no,0.15
7614,no,4178,no,0.13
7615,no,2147,no,0.12
7616,yes,1096,no,0.31
7617,no,1455,no,0.15
7618,no,-54,no,0.11
7619,no,129,no,0.17
7620,no,722,no,0.1
7621,no,1767,no,0.17
7622,no,1671,no,0.17
7623,no,130,no,0.1
7624,no,241,no,0.19
7625,no,-260,no,0.14
7626,no,1964,no,0.12
7627,no,12855,no,0.15
7628,no,992,no,0.17
7629,no,661,no,0.1
7630,no,-209,no,0.18
7631,no,8107,no,0.14
7632,no,16,yes,0.51
7633,no,583,no,0.1
7634,no,-510,no,0.14
7635,no,565,yes,0.56
7636,no,132,no,0.18
7637,no,0,yes,0.53
7638,no,7707,no,0.18
7639,no,-974,no,0.18
7640,no,457,no,0.18
7641,yes,421,no,0.37
7642,no,2397,no,0.18
7643,no,1089,no,0.13
7644,yes,-350,no,0.33
7645,no,814,no,0.16
7646,no,3167,no,0.19
7647,no,362,no,0.19
7648,no,315,no,0.1
7649,no,-13,no,0.1
7650,yes,437,no,0.34
7651,no,1002,no,0.1
7652,yes,2528,no,0.39
7653,no,239,no,0.18
7654,no,241,no,0.15
7655,no,986,no,0.1
7656,no,154,no,0.1
7657,no,3601,no,0.16
7658,no,644,no,0.18
7659,no,19,yes,0.6
7660,yes,1440,no,0.4
7661,no,2647,no,0.17
7662,yes,243,no,0.33
7663,no,169,no,0.15
7664,no,160,no,0.1
7665,no,590,no,0.1
7666,no,1082,yes,0.51
7667,no,6695,no,0.18
7668,no,1713,yes,0.56
7669,no,5282,no,0.12
7670,yes,-5,no,0.35
7671,no,7290,no,0.15
7672,no,175,no,0.19
7673,no,419,no,0.17
7674,no,14481,yes,0.5
7675,no,1379,no,0.18
7676,no,1974,no,0.17
7677,no,1290,no,0.11
7678,no,4660,no,0.13
7679,no,5,no,0.13
7680,no,2205,no,0.11
7681,no,11743,no,0.18
7682,no,287,no,0.13
7683,no,132,no,0.1
7684,no,2062,no,0.1
7685,no,1158,no,0.15
7686,yes,-199,no,0.31
7687,no,2144,no,0.14
7688,no,-105,no,0.11
7689,no,1210,no,0.15
7690,no,4414,no,0.1
7691,no,4924,no,0.15
7692,no,2632,no,0.13
7693,no,577,no,0.14
7694,no,1597,no,0.16
7695,no,1513,no,0.1
7696,no,1440,no,0.11
7697,no,1407,no,0.18
7698,no,123,no,0.19
7699,no,2,no,0.2
7700,yes,629,no,0.36
7701,no,2343,no,0.16
7702,no,740,no,0.1
7703,no,438,no,0.14
7704,no,650,no,0.12
7705,no,2344,no,0.15
7706,no,820,no,0.12
7707,no,96,no,0.15
7708,yes,3911,no,0.33
7709,no,2441,no,0.2
7710,no,0,no,0.2
7711,no,419,no,0.13
7712,no,176,no,0.2
7713,no,4539,no,0.11
7714,no,2403,no,0.18
7715,no,391,no,0.2
7716,yes,14,no,0.33
7717,yes,287,no,0.39
7718,no,787,no,0.11
7719,no,-232,no,0.11
7720,yes,883,no,0.36
7721,no,734,no,0.15
7722,no,275,no,0.14
7723,no,5115,no,0.12
7724,yes,4120,no,0.4
7725,no,475,no,0.15
7726,no,7102,no,0.15
7727,yes,1235,no,0.31
7728,no,5724,yes,0.56
7729,no,321,no,0.15
7730,yes,159,no,0.36
7731,no,-443,no,0.11
7732,no,1451,yes,0.6
7733,no,278,no,0.19
7734,no,-111,no,0.13
7735,no,614,no,0.13
7736,no,1267,no,0.19
7737,no,786,no,0.1
7738,no,307,no,0.19
7739,no,121,yes,0.56
7740,no,535,no,0.2
7741,no,858,no,0.13
7742,yes,1341,no,0.32
7743,no,25741,no,0.17
7744,no,-34,yes,0.59
7745,no,3122,no,0.2
7746,no,561,no,0.1
7747,no,676,no,0.2
7748,yes,7108,no,0.36
7749,yes,0,no,0.32
7750,no,49,no,0.16
7751,no,740,no,0.17
7752,yes,1216,no,0.36
7753,no,188,no,0.15
7754,yes,614,no,0.33
7755,no,361,no,0.17
7756,no,-2049,no,0.17
7757,yes,1794,no,0.36
7758,no,3021,no,0.15
7759,no,6614,no,0.1
7760,no,2255,no,0.18
7761,no,1589,no,0.11
7762,no,590,no,0.14
7763,no,3674,yes,0.59
7764,no,579,no,0.16
7765,no,356,no,0.1
7766,no,1374,no,0.17
7767,yes,698,yes,0.72
7768,no,-127,no,0.14
7769,no,564,no,0.15
7770,no,690,no,0.18
7771,no,2548,no,0.1
7772,no,2022,no,0.13
7773,no,729,no,0.19
7774,yes,1065,no,0.32
7775,no,2002,no,0.15
7776,no,2960,no,0.15
7777,no,3224,no,0.14
7778,no,435,no,0.14
7779,no,200,no,0.16
7780,no,468,no,0.1
7781,no,783,no,0.19
7782,no,12159,no,0.19
7783,yes,3043,no,0.33
7784,yes,482,no,0.34
7785,no,4791,no,0.16
7786,no,-601,no,0.12
7787,no,2005,no,0.16
7788,no,0,no,0.1
7789,no,-19,no,0.2
7790,no,3254,no,0.2
7791,no,-287,no,0.18
7792,no,7019,no,0.17
7793,no,646,no,0.14
7794,no,0,no,0.14
7795,no,4136,yes,0.59
7796,no,453,no,0.16
7797,yes,2061,no,0.38
7798,no,19,no,0.14
7799,no,1144,no,0.16
7800,no,-257,no,0.11
7801,no,342,no,0.12
7802,no,839,no,0.15
7803,no,373,no,0.11
7804,no,-45,no,0.12
7805,no,1120,no,0.15
7806,no,-403,no,0.2
7807,no,-219,no,0.11
7808,no,752,no,0.13
7809,no,17,no,0.19
7810,no,2719,no,0.17
7811,no,2656,yes,0.51
7812,no,2124,no,0.12
7813,no,2806,no,0.18
7814,yes,198,no,0.33
7815,no,305,no,0.16
7816,no,2990,no,0.13
7817,no,1316,no,0.13
7818,yes,548,no,0.33
7819,no,2153,no,0.11
7820,yes,1954,no,0.36
7821,no,562,yes,0.52
7822,no,12531,no,0.15
7823,no,0,no,0.14
7824,no,126,no,0.14
7825,no,106,no,0.13
7826,no,2666,no,0.12
7827,yes,366,no,0.37
7828,no,580,no,0.19
7829,no,0,no,0.16
7830,no,429,no,0.19
7831,no,2760,no,0.1
7832,no,1387,no,0.2
7833,no,1841,no,0.17
7834,yes,430,no,0.4
7835,no,0,no,0.17
7836,no,402,no,0.17
7837,no,61,no,0.12
7838,no,752,no,0.19
7839,no,174,no,0.14
7840,no,352,no,0.13
7841,no,420,no,0.13
7842,no,49,no,0.15
7843,yes,-762,no,0.39
7844,no,461,no,0.1
7845,no,119,no,0.17
7846,no,314,no,0.16
7847,no,687,no,0.14
7848,no,0,no,0.11
7849,no,-849,no,0.18
7850,no,363,no,0.16
7851,no,2904,yes,0.59
7852,no,1484,no,0.1
7853,no,602,no,0.16
7854,no,596,no,0.13
7855,no,268,no,0.1
7856,no,1375,no,0.13
7857,no,127,no,0.19
7858,no,1025,no,0.17
7859,no,674,no,0.1
7860,no,692,no,0.2
7861,yes,1036,no,0.34
7862,no,692,no,0.2
7863,no,1,no,0.12
7864,no,-365,no,0.12
7865,no,16063,no,0.18
7866,no,1004,yes,0.59
7867,no,1285,no,0.18
7868,no,2708,no,0.16
7869,no,-465,no,0.16
7870,yes,8238,no,0.3
7871,no,320,no,0.13
7872,no,0,no,0.17
7873,no,1,no,0.14
7874,no,271,no,0.1
7875,no,1538,no,0.18
7876,no,1,no,0.15
7877,no,179,no,0.15
7878,no,343,no,0.19
7879,no,2439,no,0.2
7880,no,946,no,0.1
7881,no,2061,no,0.2
7882,no,404,no,0.17
7883,no,-636,no,0.16
7884,yes,1690,no,0.3
7885,no,2532,no,0.2
7886,no,568,no,0.18
7887,no,472,no,0.19
7888,no,0,no,0.18
7889,no,1037,no,0.11
7890,no,157,no,0.18
7891,no,1958,no,0.2
7892,no,3693,no,0.2
7893,no,0,no,0.15
7894,yes,501,no,0.33
7895,no,5145,no,0.17
7896,no,1771,no,0.1
7897,yes,192,no,0.34
7898,yes,292,no,0.39
7899,no,193,no,0.19
7900,no,1069,no,0.17
7901,no,155,no,0.15
7902,no,-189,no,0.18
7903,no,905,no,0.2
7904,no,-143,no,0.2
7905,no,2260,no,0.19
7906,no,211,no,0.15
7907,no,324,no,0.16
7908,no,0,no,0.17
7909,yes,346,no,0.32
7910,no,139,no,0.11
7911,no,303,no,0.11
7912,no,0,no,0.12
7913,no,-1027,no,0.11
7914,no,410,yes,0.56
7915,no,264,no,0.17
7916,no,0,yes,0.55
7917,no,1307,no,0.15
7918,no,157,no,0.14
7919,no,3587,no,0.17
7920,no,1942,no,0.18
7921,no,5563,no,0.13
7922,no,0,yes,0.56
7923,no,1533,no,0.19
7924,no,71,no,0.15
7925,no,-189,no,0.16
7926,no,62,yes,0.59
7927,no,-47,no,0.18
7928,no,137,no,0.16
7929,no,12,no,0.12
7930,yes,486,no,0.3
7931,no,1609,no,0.1
7932,no,-79,no,0.19
7933,yes,7867,no,0.32
7934,no,123,no,0.2
7935,yes,-540,no,0.4
7936,yes,610,no,0.31
7937,yes,1092,no,0.37
7938,no,266,no,0.18
7939,no,0,no,0.17
7940,no,2641,no,0.18
7941,no,1267,no,0.15
7942,no,229,no,0.13
7943,yes,1103,no,0.34
7944,no,2609,no,0.11
7945,no,3782,no,0.18
7946,yes,568,no,0.37
7947,no,68,no,0.12
7948,no,80,no,0.16
7949,no,-417,no,0.12
7950,no,2544,no,0.17
7951,yes,5210,no,0.39
7952,no,905,no,0.14
7953,no,416,yes,0.57
7954,no,573,no,0.1
7955,no,0,no,0.19
7956,no,304,no,0.16
7957,no,-10,no,0.15
7958,no,6312,no,0.12
7959,no,396,no,0.11
7960,no,26,no,0.19
7961,no,34,no,0.2
7962,no,147,no,0.2
7963,no,25,no,0.11
7964,no,280,no,0.1
7965,no,335,no,0.15
7966,no,1994,no,0.13
7967,no,777,no,0.11
7968,yes,641,no,0.4
7969,no,-559,no,0.1
7970,no,17,no,0.1
7971,yes,-141,no,0.35
7972,yes,1095,no,0.37
7973,yes,177,no,0.4
7974,no,186,no,0.11
7975,no,332,no,0.18
7976,no,519,no,0.18
7977,no,-583,no,0.14
7978,no,1097,no,0.19
7979,no,89,no,0.11
7980,no,-167,no,0.11
7981,no,571,no,0.15
7982,no,596,no,0.2
7983,no,535,no,0.2
7984,no,3339,no,0.15
7985,yes,2193,no,0.3
7986,no,771,no,0.16
7987,yes,-757,no,0.35
7988,yes,308,no,0.38
7989,no,256,no,0.17
7990,no,3729,no,0.12
7991,no,15511,no,0.1
7992,no,1029,no,0.17
7993,no,323,no,0.1
7994,no,307,no,0.13
7995,no,1965,no,0.18
7996,no,291,no,0.16
7997,no,938,no,0.14
7998,no,756,no,0.2
7999,no,1942,no,0.13
8000,no,2378,no,0.14
8001,no,0,no,0.19
8002,no,5041,no,0.2
8003,yes,628,no,0.32
8004,no,294,no,0.12
8005,yes,516,no,0.33
8006,no,-244,no,0.17
8007,no,22,no,0.15
8008,no,18904,no,0.2
8009,no,540,no,0.17
8010,no,615,no,0.1
8011,no,86,no,0.15
8012,yes,4143,no,0.4
8013,no,14,no,0.19
8014,no,2763,yes,0.57
8015,no,0,no,0.17
8016,no,239,no,0.14
8017,no,2984,yes,0.59
8018,no,3696,no,0.2
8019,no,4,no,0.1
8020,no,249,no,0.11
8021,yes,143,yes,0.73
8022,no,191,no,0.11
8023,no,1358,no,0.12
8024,no,3044,no,0.13
8025,no,4,no,0.14
8026,no,3560,no,0.17
8027,no,1309,no,0.12
8028,no,-488,no,0.13
8029,no,440,no,0.11
8030,no,808,no,0.16
8031,no,2854,no,0.16
8032,no,1244,no,0.15
8033,yes,691,no,0.37
8034,no,0,yes,0.57
8035,no,3249,no,0.11
8036,no,759,no,0.2
8037,no,144,no,0.11
8038,no,892,no,0.1
8039,no,109,no,0.11
8040,yes,608,no,0.3
8041,no,1415,no,0.15
8042,no,314,no,0.15
8043,no,-1480,no,0.1
8044,no,0,no,0.13
8045,no,3487,no,0.13
8046,no,56,no,0.12
8047,yes,374,no,0.38
8048,no,451,no,0.14
8049,no,741,no,0.16
8050,no,8,no,0.12
8051,no,3948,no,0.15
8052,no,231,no,0.13
8053,no,859,no,0.2
8054,no,1802,no,0.18
8055,yes,298,no,0.31
8056,no,3472,no,0.17
8057,no,1076,no,0.14
8058,no,732,no,0.15
8059,yes,1897,no,0.33
8060,no,1985,no,0.18
8061,no,1861,no,0.13
8062,no,3237,no,0.18
8063,no,1614,no,0.15
8064,no,-45,no,0.19
8065,no,847,no,0.16
8066,no,1825,no,0.15
8067,yes,493,no,0.31
8068,yes,80,no,0.4
8069,yes,1237,no,0.38
8070,no,3659,no,0.14
8071,no,1834,no,0.12
8072,no,-143,no,0.2
8073,yes,360,no,0.39
8074,yes,1104,no,0.31
8075,no,522,no,0.11
8076,no,6843,no,0.16
8077,no,756,no,0.11
8078,no,1682,no,0.18
8079,no,900,no,0.11
8080,no,426,no,0.13
8081,no,6,no,0.12
8082,no,696,yes,0.56
8083,no,2507,no,0.11
8084,no,152,yes,0.58
8085,yes,247,no,0.37
8086,yes,7505,no,0.33
8087,no,4415,no,0.1
8088,no,4,no,0.12
8089,no,0,no,0.17
8090,yes,1475,no,0.39
8091,no,-20,no,0.11
8092,no,3574,no,0.12
8093,no,717,no,0.18
8094,no,518,no,0.13
8095,no,1720,no,0.16
8096,yes,5029,no,0.32
8097,no,395,no,0.17
8098,no,3868,no,0.19
8099,yes,334,no,0.31
8100,no,578,no,0.15
8101,yes,410,no,0.3
8102,no,0,no,0.18
8103,yes,77,no,0.33
8104,no,114,no,0.13
8105,no,4780,no,0.11
8106,no,0,no,0.19
8107,no,502,no,0.16
8108,no,1027,no,0.11
8109,yes,579,no,0.39
8110,no,312,no,0.2
8111,no,166,no,0.14
8112,no,1187,no,0.1
8113,no,1242,no,0.13
8114,no,15,no,0.19
8115,no,72,no,0.1
8116,no,489,no,0.14
8117,yes,1098,no,0.39
8118,no,34,no,0.12
8119,no,257,no,0.13
8120,no,-79,no,0.17
8121,yes,684,no,0.31
8122,no,109,no,0.2
8123,no,3561,no,0.16
8124,no,-1,no,0.1
8125,no,2768,no,0.14
8126,no,-21,no,0.13
8127,no,-399,no,0.1
8128,yes,-156,no,0.39
8129,yes,-755,no,0.35
8130,no,-80,no,0.2
8131,no,932,no,0.18
8132,yes,-304,no,0.4
8133,no,667,no,0.19
8134,no,712,no,0.13
8135,no,1088,no,0.19
8136,yes,1,no,0.31
8137,no,1907,no,0.14
8138,no,315,no,0.2
8139,no,-78,yes,0.59
8140,no,539,no,0.1
8141,no,1193,no,0.12
8142,no,213,no,0.14
8143,yes,238,no,0.39
8144,no,336,no,0.15
8145,no,809,no,0.17
8146,no,2525,no,0.2
8147,no,10,no,0.2
8148,no,3304,no,0.19
8149,no,98,no,0.2
8150,no,399,no,0.12
8151,no,-581,no,0.14
8152,no,218,no,0.12
8153,yes,101,no,0.33
8154,no,0,no,0.13
8155,no,0,no,0.14
8156,no,287,no,0.11
8157,no,669,no,0.16
8158,no,1050,no,0.16
8159,no,1707,no,0.16
8160,no,867,yes,0.56
8161,no,26,no,0.19
8162,no,-41,no,0.13
8163,no,117,no,0.18
8164,no,1734,no,0.13
8165,no,147,no,0.15
8166,no,229,no,0.18
8167,no,99,no,0.13
8168,no,0,no,0.17
8169,no,185,no,0.18
8170,no,986,no,0.15
8171,no,0,no,0.13
8172,no,577,no,0.15
8173,no,75,no,0.13
8174,no,-111,no,0.13
8175,no,854,no,0.15
8176,no,798,no,0.13
8177,no,580,no,0.14
8178,no,2227,no,0.18
8179,no,4731,no,0.12
8180,no,-435,no,0.15
8181,no,351,no,0.18
8182,no,8558,no,0.16
8183,no,6220,no,0.16
8184,no,19797,no,0.16
8185,no,1632,no,0.19
8186,no,953,yes,0.55
8187,no,795,no,0.13
8188,no,264,no,0.18
8189,yes,-234,no,0.3
8190,yes,80,no,0.4
8191,no,1208,no,0.13
8192,no,122,no,0.11
8193,no,2715,no,0.15
8194,no,749,no,0.2
8195,no,1529,no,0.13
8196,no,12917,no,0.12
8197,no,5164,no,0.1
8198,no,1780,no,0.18
8199,no,-96,no,0.16
8200,no,0,no,0.11
8201,no,-239,no,0.11
8202,no,381,no,0.15
8203,yes,-686,no,0.32
8204,no,13,no,0.14
8205,no,173,no,0.1
8206,yes,-37,no,0.4
8207,no,1032,no,0.13
8208,no,2040,no,0.12
8209,no,2550,no,0.15
8210,no,2990,no,0.19
8211,no,60,no,0.16
8212,no,6,no,0.12
8213,no,443,yes,0.6
8214,no,1680,no,0.16
8215,yes,-59,no,0.38
8216,no,2247,no,0.1
8217,no,90,no,0.18
8218,no,-1129,yes,0.6
8219,no,1949,no,0.13
8220,no,358,no,0.17
8221,no,0,no,0.2
8222,no,1267,no,0.16
8223,no,0,no,0.14
8224,yes,75,no,0.34
8225,yes,1375,no,0.31
8226,no,3433,no,0.15
8227,no,976,no,0.17
8228,yes,603,no,0.4
8229,yes,926,no,0.36
8230,no,8263,no,0.15
8231,no,1937,no,0.11
8232,yes,3,no,0.39
8233,no,417,no,0.14
8234,no,1273,no,0.11
8235,no,98,no,0.15
8236,yes,-282,no,0.36
8237,no,456,no,0.15
8238,no,0,no,0.16
8239,no,301,no,0.12
8240,no,4543,no,0.2
8241,no,257,no,0.17
8242,no,35,no,0.17
8243,no,245,no,0.2
8244,no,21096,no,0.17
8245,no,3019,no,0.2
8246,no,-537,no,0.15
8247,no,-119,no,0.2
8248,no,-295,no,0.12
8249,no,6525,no,0.17
8250,no,171,no,0.1
8251,no,-511,no,0.1
8252,yes,2610,no,0.37
8253,no,1849,no,0.2
8254,no,2084,no,0.1
8255,no,471,no,0.15
8256,no,2998,no,0.12
8257,no,342,no,0.2
8258,no,816,no,0.15
8259,no,6321,no,0.11
8260,no,277,no,0.18
8261,no,-205,no,0.16
8262,no,1492,no,0.16
8263,yes,475,no,0.33
8264,yes,1105,no,0.36
8265,no,63,no,0.18
8266,no,0,no,0.2
8267,no,415,yes,0.54
8268,no,53,no,0.13
8269,no,-158,no,0.18
8270,no,-711,no,0.19
8271,no,2617,no,0.12
8272,no,113,no,0.14
8273,yes,-691,no,0.39
8274,no,-887,no,0.19
8275,no,194,no,0.12
8276,no,2198,no,0.19
8277,no,1170,no,0.17
8278,no,1905,no,0.13
8279,no,532,no,0.13
8280,no,2635,no,0.1
8281,yes,180,no,0.34
8282,no,4040,no,0.13
8283,no,2,no,0.1
8284,no,2073,no,0.17
8285,no,0,no,0.13
8286,yes,-480,no,0.33
8287,no,4136,no,0.16
8288,no,-2,no,0.16
8289,yes,4,no,0.35
8290,no,1,no,0.16
8291,yes,2387,no,0.35
8292,no,1495,no,0.14
8293,no,-218,no,0.16
8294,no,-617,no,0.1
8295,no,500,no,0.12
8296,no,2364,no,0.12
8297,yes,456,no,0.38
8298,no,0,no,0.2
8299,no,68,no,0.12
8300,no,5195,no,0.18
8301,no,1090,no,0.18
8302,no,673,no,0.15
8303,yes,2418,no,0.31
8304,no,1416,no,0.16
8305,no,828,no,0.11
8306,no,1604,no,0.14
8307,no,1540,no,0.12
8308,no,0,no,0.17
8309,yes,-18,no,0.3
8310,no,-106,no,0.11
8311,yes,1,no,0.33
8312,no,104,no,0.12
8313,no,498,no,0.11
8314,no,7343,no,0.14
8315,no,33,no,0.16
8316,no,3496,no,0.1
8317,no,592,no,0.13
8318,yes,1108,no,0.34
