,bank_arg1,bank_arg2
7566,0.17,0.16
7567,0.18,0.11
7568,0.16,0.18
7569,0.15,0.19
7570,0.15,0.12
7571,0.17,0.2
7572,0.11,0.13
7573,0.12,0.12
7574,0.17,0.17
7575,0.14,0.12
7576,0.2,0.2
7577,0.11,0.19
7578,0.16,0.17
7579,0.13,0.19
7580,0.1,0.12
7581,0.18,0.15
7582,0.1,0.12
7583,0.3,0.24
7584,0.1,0.11
7585,0.14,0.16
7586,0.16,0.18
7587,0.2,0.16
7588,0.12,0.14
7589,0.1,0.19
7590,0.53,0.35
7591,0.19,0.15
7592,0.12,0.11
7593,0.19,0.2
7594,0.1,0.2
7595,0.19,0.19
7596,0.14,0.11
7597,0.11,0.19
7598,0.12,0.15
7599,0.38,0.28
7600,0.11,0.2
7601,0.11,0.13
7602,0.11,0.2
7603,0.12,0.14
7604,0.1,0.1
7605,0.39,0.25
7606,0.13,0.15
7607,0.18,0.13
7608,0.15,0.12
7609,0.1,0.11
7610,0.15,0.1
7611,0.73,0.47
7612,0.19,0.14
7613,0.15,0.1
7614,0.13,0.13
7615,0.12,0.13
7616,0.31,0.27
7617,0.15,0.16
7618,0.11,0.19
7619,0.17,0.16
7620,0.1,0.2
7621,0.17,0.2
7622,0.17,0.11
7623,0.1,0.2
7624,0.19,0.15
7625,0.14,0.12
7626,0.12,0.13
7627,0.15,0.17
7628,0.17,0.12
7629,0.1,0.12
7630,0.18,0.18
7631,0.14,0.1
7632,0.51,0.38
7633,0.1,0.18
7634,0.14,0.18
7635,0.56,0.38
7636,0.18,0.19
7637,0.53,0.39
7638,0.18,0.17
7639,0.18,0.1
7640,0.18,0.11
7641,0.37,0.28
7642,0.18,0.12
7643,0.13,0.11
7644,0.33,0.2
7645,0.16,0.1
7646,0.19,0.17
7647,0.19,0.13
7648,0.1,0.14
7649,0.1,0.11
7650,0.34,0.27
7651,0.1,0.11
7652,0.39,0.28
7653,0.18,0.2
7654,0.15,0.18
7655,0.1,0.16
7656,0.1,0.14
7657,0.16,0.1
7658,0.18,0.17
7659,0.6,0.31
7660,0.4,0.29
7661,0.17,0.18
7662,0.33,0.25
7663,0.15,0.1
7664,0.1,0.17
7665,0.1,0.11
7666,0.51,0.39
7667,0.18,0.14
7668,0.56,0.3
7669,0.12,0.19
7670,0.35,0.26
7671,0.15,0.1
7672,0.19,0.2
7673,0.17,0.18
7674,0.5,0.3
7675,0.18,0.2
7676,0.17,0.1
7677,0.11,0.18
7678,0.13,0.11
7679,0.13,0.19
7680,0.11,0.13
7681,0.18,0.11
7682,0.13,0.12
7683,0.1,0.14
7684,0.1,0.18
7685,0.15,0.11
7686,0.31,0.22
7687,0.14,0.15
7688,0.11,0.1
7689,0.15,0.12
7690,0.1,0.16
7691,0.15,0.1
7692,0.13,0.19
7693,0.14,0.17
7694,0.16,0.14
7695,0.1,0.17
7696,0.11,0.2
7697,0.18,0.1
7698,0.19,0.2
7699,0.2,0.13
7700,0.36,0.22
7701,0.16,0.13
7702,0.1,0.14
7703,0.14,0.1
7704,0.12,0.15
7705,0.15,0.19
7706,0.12,0.18
7707,0.15,0.16
7708,0.33,0.28
7709,0.2,0.19
7710,0.2,0.1
7711,0.13,0.18
7712,0.2,0.16
7713,0.11,0.12
7714,0.18,0.2
7715,0.2,0.16
7716,0.33,0.3
7717,0.39,0.25
7718,0.11,0.14
7719,0.11,0.17
7720,0.36,0.23
7721,0.15,0.14
7722,0.14,0.17
7723,0.12,0.15
7724,0.4,0.24
7725,0.15,0.12
7726,0.15,0.16
7727,0.31,0.2
7728,0.56,0.3
7729,0.15,0.2
7730,0.36,0.28
7731,0.11,0.19
7732,0.6,0.3
7733,0.19,0.18
7734,0.13,0.16
7735,0.13,0.12
7736,0.19,0.1
7737,0.1,0.18
7738,0.19,0.15
7739,0.56,0.4
7740,0.2,0.19
7741,0.13,0.1
7742,0.32,0.25
7743,0.17,0.15
7744,0.59,0.34
7745,0.2,0.19
7746,0.1,0.18
7747,0.2,0.14
7748,0.36,0.3
7749,0.32,0.23
7750,0.16,0.12
7751,0.17,0.2
7752,0.36,0.21
7753,0.15,0.15
7754,0.33,0.26
7755,0.17,0.11
7756,0.17,0.12
7757,0.36,0.24
7758,0.15,0.13
7759,0.1,0.1
7760,0.18,0.1
7761,0.11,0.16
7762,0.14,0.15
7763,0.59,0.37
7764,0.16,0.1
7765,0.1,0.16
7766,0.17,0.12
7767,0.72,0.4
7768,0.14,0.17
7769,0.15,0.14
7770,0.18,0.17
7771,0.1,0.16
7772,0.13,0.19
7773,0.19,0.19
7774,0.32,0.21
7775,0.15,0.15
7776,0.15,0.14
7777,0.14,0.14
7778,0.14,0.1
7779,0.16,0.2
7780,0.1,0.12
7781,0.19,0.11
7782,0.19,0.15
7783,0.33,0.24
7784,0.34,0.21
7785,0.16,0.16
7786,0.12,0.1
7787,0.16,0.14
7788,0.1,0.1
7789,0.2,0.18
7790,0.2,0.12
7791,0.18,0.15
7792,0.17,0.18
7793,0.14,0.13
7794,0.14,0.15
7795,0.59,0.31
7796,0.16,0.14
7797,0.38,0.23
7798,0.14,0.17
7799,0.16,0.11
7800,0.11,0.14
7801,0.12,0.13
7802,0.15,0.12
7803,0.11,0.1
7804,0.12,0.15
7805,0.15,0.19
7806,0.2,0.2
7807,0.11,0.1
7808,0.13,0.18
7809,0.19,0.19
7810,0.17,0.19
7811,0.51,0.4
7812,0.12,0.2
7813,0.18,0.2
7814,0.33,0.2
7815,0.16,0.19
7816,0.13,0.1
7817,0.13,0.13
7818,0.33,0.23
7819,0.11,0.13
7820,0.36,0.21
7821,0.52,0.38
7822,0.15,0.19
7823,0.14,0.11
7824,0.14,0.19
7825,0.13,0.16
7826,0.12,0.12
7827,0.37,0.24
7828,0.19,0.16
7829,0.16,0.13
7830,0.19,0.15
7831,0.1,0.17
7832,0.2,0.1
7833,0.17,0.18
7834,0.4,0.23
7835,0.17,0.12
7836,0.17,0.12
7837,0.12,0.13
7838,0.19,0.15
7839,0.14,0.2
7840,0.13,0.11
7841,0.13,0.12
7842,0.15,0.19
7843,0.39,0.21
7844,0.1,0.17
7845,0.17,0.19
7846,0.16,0.1
7847,0.14,0.1
7848,0.11,0.15
7849,0.18,0.17
7850,0.16,0.17
7851,0.59,0.38
7852,0.1,0.11
7853,0.16,0.2
7854,0.13,0.1
7855,0.1,0.13
7856,0.13,0.13
7857,0.19,0.19
7858,0.17,0.17
7859,0.1,0.17
7860,0.2,0.15
7861,0.34,0.21
7862,0.2,0.13
7863,0.12,0.17
7864,0.12,0.15
7865,0.18,0.11
7866,0.59,0.4
7867,0.18,0.19
7868,0.16,0.17
7869,0.16,0.16
7870,0.3,0.2
7871,0.13,0.15
7872,0.17,0.19
7873,0.14,0.13
7874,0.1,0.14
7875,0.18,0.1
7876,0.15,0.18
7877,0.15,0.13
7878,0.19,0.15
7879,0.2,0.17
7880,0.1,0.16
7881,0.2,0.2
7882,0.17,0.16
7883,0.16,0.14
7884,0.3,0.21
7885,0.2,0.2
7886,0.18,0.14
7887,0.19,0.13
7888,0.18,0.16
7889,0.11,0.16
7890,0.18,0.15
7891,0.2,0.15
7892,0.2,0.16
7893,0.15,0.13
7894,0.33,0.25
7895,0.17,0.12
7896,0.1,0.13
7897,0.34,0.29
7898,0.39,0.22
7899,0.19,0.13
7900,0.17,0.16
7901,0.15,0.12
7902,0.18,0.12
7903,0.2,0.2
7904,0.2,0.2
7905,0.19,0.12
7906,0.15,0.15
7907,0.16,0.16
7908,0.17,0.14
7909,0.32,0.2
7910,0.11,0.15
7911,0.11,0.16
7912,0.12,0.13
7913,0.11,0.2
7914,0.56,0.38
7915,0.17,0.14
7916,0.55,0.31
7917,0.15,0.1
7918,0.14,0.19
7919,0.17,0.18
7920,0.18,0.17
7921,0.13,0.12
7922,0.56,0.34
7923,0.19,0.19
7924,0.15,0.12
7925,0.16,0.16
7926,0.59,0.37
7927,0.18,0.11
7928,0.16,0.17
7929,0.12,0.1
7930,0.3,0.2
7931,0.1,0.18
7932,0.19,0.14
7933,0.32,0.3
7934,0.2,0.18
7935,0.4,0.2
7936,0.31,0.2
7937,0.37,0.26
7938,0.18,0.2
7939,0.17,0.17
7940,0.18,0.19
7941,0.15,0.12
7942,0.13,0.2
7943,0.34,0.21
7944,0.11,0.13
7945,0.18,0.15
7946,0.37,0.28
7947,0.12,0.11
7948,0.16,0.18
7949,0.12,0.12
7950,0.17,0.15
7951,0.39,0.22
7952,0.14,0.16
7953,0.57,0.3
7954,0.1,0.15
7955,0.19,0.17
7956,0.16,0.2
7957,0.15,0.1
7958,0.12,0.13
7959,0.11,0.17
7960,0.19,0.19
7961,0.2,0.17
7962,0.2,0.15
7963,0.11,0.12
7964,0.1,0.1
7965,0.15,0.16
7966,0.13,0.17
7967,0.11,0.1
7968,0.4,0.2
7969,0.1,0.1
7970,0.1,0.16
7971,0.35,0.29
7972,0.37,0.23
7973,0.4,0.22
7974,0.11,0.11
7975,0.18,0.19
7976,0.18,0.12
7977,0.14,0.1
7978,0.19,0.16
7979,0.11,0.1
7980,0.11,0.14
7981,0.15,0.11
7982,0.2,0.1
7983,0.2,0.19
7984,0.15,0.17
7985,0.3,0.29
7986,0.16,0.12
7987,0.35,0.29
7988,0.38,0.25
7989,0.17,0.2
7990,0.12,0.13
7991,0.1,0.15
7992,0.17,0.16
7993,0.1,0.2
7994,0.13,0.15
7995,0.18,0.14
7996,0.16,0.2
7997,0.14,0.12
7998,0.2,0.2
7999,0.13,0.1
8000,0.14,0.19
8001,0.19,0.11
8002,0.2,0.11
8003,0.32,0.3
8004,0.12,0.17
8005,0.33,0.28
8006,0.17,0.18
8007,0.15,0.18
8008,0.2,0.13
8009,0.17,0.11
8010,0.1,0.13
8011,0.15,0.16
8012,0.4,0.25
8013,0.19,0.16
8014,0.57,0.32
8015,0.17,0.1
8016,0.14,0.15
8017,0.59,0.33
8018,0.2,0.19
8019,0.1,0.16
8020,0.11,0.12
8021,0.73,0.49
8022,0.11,0.19
8023,0.12,0.17
8024,0.13,0.1
8025,0.14,0.13
8026,0.17,0.18
8027,0.12,0.1
8028,0.13,0.11
8029,0.11,0.19
8030,0.16,0.12
8031,0.16,0.16
8032,0.15,0.15
8033,0.37,0.27
8034,0.57,0.35
8035,0.11,0.2
8036,0.2,0.12
8037,0.11,0.16
8038,0.1,0.1
8039,0.11,0.14
8040,0.3,0.2
8041,0.15,0.11
8042,0.15,0.2
8043,0.1,0.2
8044,0.13,0.18
8045,0.13,0.16
8046,0.12,0.2
8047,0.38,0.28
8048,0.14,0.19
8049,0.16,0.12
8050,0.12,0.12
8051,0.15,0.11
8052,0.13,0.15
8053,0.2,0.18
8054,0.18,0.2
8055,0.31,0.22
8056,0.17,0.13
8057,0.14,0.15
8058,0.15,0.12
8059,0.33,0.3
8060,0.18,0.17
8061,0.13,0.17
8062,0.18,0.18
8063,0.15,0.16
8064,0.19,0.12
8065,0.16,0.14
8066,0.15,0.12
8067,0.31,0.25
8068,0.4,0.3
8069,0.38,0.28
8070,0.14,0.16
8071,0.12,0.13
8072,0.2,0.19
8073,0.39,0.27
8074,0.31,0.25
8075,0.11,0.16
8076,0.16,0.16
8077,0.11,0.17
8078,0.18,0.13
8079,0.11,0.13
8080,0.13,0.19
8081,0.12,0.15
8082,0.56,0.33
8083,0.11,0.14
8084,0.58,0.32
8085,0.37,0.22
8086,0.33,0.23
8087,0.1,0.17
8088,0.12,0.16
8089,0.17,0.13
8090,0.39,0.27
8091,0.11,0.13
8092,0.12,0.19
8093,0.18,0.17
8094,0.13,0.19
8095,0.16,0.15
8096,0.32,0.25
8097,0.17,0.14
8098,0.19,0.1
8099,0.31,0.2
8100,0.15,0.12
8101,0.3,0.26
8102,0.18,0.18
8103,0.33,0.23
8104,0.13,0.14
8105,0.11,0.14
8106,0.19,0.1
8107,0.16,0.13
8108,0.11,0.12
8109,0.39,0.29
8110,0.2,0.17
8111,0.14,0.19
8112,0.1,0.13
8113,0.13,0.18
8114,0.19,0.15
8115,0.1,0.13
8116,0.14,0.15
8117,0.39,0.21
8118,0.12,0.13
8119,0.13,0.11
8120,0.17,0.18
8121,0.31,0.29
8122,0.2,0.13
8123,0.16,0.14
8124,0.1,0.2
8125,0.14,0.17
8126,0.13,0.17
8127,0.1,0.16
8128,0.39,0.28
8129,0.35,0.27
8130,0.2,0.2
8131,0.18,0.12
8132,0.4,0.27
8133,0.19,0.19
8134,0.13,0.18
8135,0.19,0.13
8136,0.31,0.22
8137,0.14,0.17
8138,0.2,0.11
8139,0.59,0.39
8140,0.1,0.19
8141,0.12,0.15
8142,0.14,0.11
8143,0.39,0.25
8144,0.15,0.1
8145,0.17,0.16
8146,0.2,0.16
8147,0.2,0.13
8148,0.19,0.15
8149,0.2,0.14
8150,0.12,0.1
8151,0.14,0.2
8152,0.12,0.1
8153,0.33,0.21
8154,0.13,0.12
8155,0.14,0.17
8156,0.11,0.2
8157,0.16,0.1
8158,0.16,0.11
8159,0.16,0.2
8160,0.56,0.38
8161,0.19,0.15
8162,0.13,0.12
8163,0.18,0.16
8164,0.13,0.18
8165,0.15,0.18
8166,0.18,0.2
8167,0.13,0.1
8168,0.17,0.14
8169,0.18,0.13
8170,0.15,0.15
8171,0.13,0.1
8172,0.15,0.2
8173,0.13,0.18
8174,0.13,0.18
8175,0.15,0.15
8176,0.13,0.18
8177,0.14,0.13
8178,0.18,0.11
8179,0.12,0.17
8180,0.15,0.15
8181,0.18,0.13
8182,0.16,0.18
8183,0.16,0.17
8184,0.16,0.1
8185,0.19,0.18
8186,0.55,0.35
8187,0.13,0.11
8188,0.18,0.19
8189,0.3,0.25
8190,0.4,0.23
8191,0.13,0.2
8192,0.11,0.19
8193,0.15,0.16
8194,0.2,0.12
8195,0.13,0.1
8196,0.12,0.2
8197,0.1,0.15
8198,0.18,0.19
8199,0.16,0.2
8200,0.11,0.16
8201,0.11,0.18
8202,0.15,0.16
8203,0.32,0.27
8204,0.14,0.14
8205,0.1,0.11
8206,0.4,0.25
8207,0.13,0.1
8208,0.12,0.19
8209,0.15,0.15
8210,0.19,0.17
8211,0.16,0.17
8212,0.12,0.1
8213,0.6,0.3
8214,0.16,0.15
8215,0.38,0.23
8216,0.1,0.11
8217,0.18,0.11
8218,0.6,0.31
8219,0.13,0.14
8220,0.17,0.13
8221,0.2,0.1
8222,0.16,0.2
8223,0.14,0.14
8224,0.34,0.28
8225,0.31,0.28
8226,0.15,0.13
8227,0.17,0.16
8228,0.4,0.27
8229,0.36,0.29
8230,0.15,0.2
8231,0.11,0.13
8232,0.39,0.3
8233,0.14,0.11
8234,0.11,0.14
8235,0.15,0.18
8236,0.36,0.26
8237,0.15,0.15
8238,0.16,0.15
8239,0.12,0.2
8240,0.2,0.14
8241,0.17,0.19
8242,0.17,0.13
8243,0.2,0.1
8244,0.17,0.13
8245,0.2,0.16
8246,0.15,0.2
8247,0.2,0.13
8248,0.12,0.18
8249,0.17,0.2
8250,0.1,0.18
8251,0.1,0.14
8252,0.37,0.24
8253,0.2,0.1
8254,0.1,0.12
8255,0.15,0.1
8256,0.12,0.18
8257,0.2,0.13
8258,0.15,0.11
8259,0.11,0.19
8260,0.18,0.19
8261,0.16,0.11
8262,0.16,0.2
8263,0.33,0.2
8264,0.36,0.23
8265,0.18,0.2
8266,0.2,0.14
8267,0.54,0.37
8268,0.13,0.18
8269,0.18,0.13
8270,0.19,0.17
8271,0.12,0.1
8272,0.14,0.18
8273,0.39,0.24
8274,0.19,0.13
8275,0.12,0.2
8276,0.19,0.15
8277,0.17,0.17
8278,0.13,0.16
8279,0.13,0.13
8280,0.1,0.18
8281,0.34,0.2
8282,0.13,0.19
8283,0.1,0.17
8284,0.17,0.12
8285,0.13,0.17
8286,0.33,0.28
8287,0.16,0.15
8288,0.16,0.1
8289,0.35,0.25
8290,0.16,0.12
8291,0.35,0.24
8292,0.14,0.1
8293,0.16,0.18
8294,0.1,0.15
8295,0.12,0.11
8296,0.12,0.12
8297,0.38,0.29
8298,0.2,0.19
8299,0.12,0.19
8300,0.18,0.13
8301,0.18,0.19
8302,0.15,0.17
8303,0.31,0.22
8304,0.16,0.15
8305,0.11,0.2
8306,0.14,0.1
8307,0.12,0.15
8308,0.17,0.14
8309,0.3,0.23
8310,0.11,0.1
8311,0.33,0.24
8312,0.12,0.16
8313,0.11,0.19
8314,0.14,0.16
8315,0.16,0.16
8316,0.1,0.12
8317,0.13,0.13
8318,0.34,0.27
8319,0.18,0.1
8320,0.11,0.18
8321,0.18,0.12
8322,0.19,0.13
8323,0.17,0.15
8324,0.13,0.12
8325,0.17,0.15
8326,0.13,0.19
8327,0.18,0.17
8328,0.2,0.1
8329,0.2,0.16
8330,0.37,0.2
8331,0.2,0.11
8332,0.14,0.18
8333,0.18,0.15
8334,0.17,0.11
8335,0.17,0.16
8336,0.19,0.18
8337,0.13,0.1
8338,0.19,0.19
8339,0.15,0.16
8340,0.55,0.32
8341,0.12,0.17
8342,0.18,0.19
8343,0.17,0.16
8344,0.54,0.4
8345,0.55,0.37
8346,0.12,0.1
8347,0.15,0.16
8348,0.12,0.2
8349,0.19,0.1
8350,0.15,0.16
8351,0.1,0.13
8352,0.33,0.24
8353,0.14,0.1
8354,0.19,0.16
8355,0.38,0.24
8356,0.14,0.2
8357,0.1,0.16
8358,0.11,0.14
8359,0.19,0.17
8360,0.32,0.28
8361,0.1,0.14
8362,0.19,0.12
8363,0.13,0.17
8364,0.12,0.17
8365,0.31,0.28
8366,0.12,0.12
8367,0.3,0.22
8368,0.33,0.28
8369,0.1,0.12
8370,0.37,0.29
8371,0.4,0.29
8372,0.15,0.1
8373,0.2,0.17
8374,0.16,0.12
8375,0.17,0.15
8376,0.2,0.2
8377,0.18,0.17
8378,0.15,0.16
8379,0.13,0.17
8380,0.14,0.17
8381,0.32,0.3
8382,0.37,0.27
8383,0.6,0.37
8384,0.2,0.14
8385,0.16,0.14
8386,0.19,0.18
8387,0.1,0.1
8388,0.11,0.15
8389,0.2,0.15
8390,0.1,0.16
8391,0.14,0.1
8392,0.76,0.42
8393,0.2,0.16
8394,0.11,0.1
8395,0.17,0.15
8396,0.13,0.13
8397,0.12,0.14
8398,0.2,0.1
8399,0.19,0.19
8400,0.12,0.17
8401,0.1,0.15
8402,0.11,0.11
8403,0.14,0.19
8404,0.1,0.1
8405,0.1,0.13
8406,0.15,0.1
8407,0.16,0.14
8408,0.12,0.16
8409,0.15,0.11
8410,0.39,0.29
8411,0.14,0.18
8412,0.14,0.2
8413,0.31,0.29
8414,0.11,0.1
8415,0.12,0.2
8416,0.19,0.13
8417,0.1,0.18
8418,0.13,0.11
8419,0.19,0.2
8420,0.15,0.2
8421,0.13,0.1
8422,0.34,0.23
8423,0.11,0.11
8424,0.2,0.12
8425,0.13,0.1
8426,0.12,0.14
8427,0.39,0.3
8428,0.17,0.11
8429,0.18,0.1
8430,0.16,0.17
8431,0.15,0.16
8432,0.15,0.16
8433,0.1,0.2
8434,0.12,0.15
8435,0.19,0.2
8436,0.15,0.13
8437,0.38,0.2
8438,0.19,0.19
8439,0.17,0.12
8440,0.1,0.18
8441,0.18,0.12
8442,0.74,0.45
8443,0.11,0.18
8444,0.13,0.14
8445,0.14,0.15
8446,0.39,0.2
8447,0.18,0.1
8448,0.13,0.14
8449,0.18,0.2
8450,0.15,0.17
8451,0.16,0.18
8452,0.17,0.13
8453,0.11,0.18
8454,0.18,0.11
8455,0.17,0.19
8456,0.17,0.1
8457,0.18,0.14
8458,0.13,0.11
8459,0.6,0.4
8460,0.2,0.13
8461,0.31,0.23
8462,0.12,0.1
8463,0.39,0.28
8464,0.13,0.11
8465,0.31,0.23
8466,0.19,0.19
8467,0.18,0.1
8468,0.13,0.15
8469,0.11,0.14
8470,0.19,0.19
8471,0.1,0.2
8472,0.14,0.2
8473,0.14,0.19
8474,0.19,0.12
8475,0.13,0.11
8476,0.31,0.2
8477,0.11,0.13
8478,0.19,0.11
8479,0.15,0.16
8480,0.36,0.29
8481,0.14,0.17
8482,0.11,0.2
8483,0.38,0.25
8484,0.17,0.15
8485,0.2,0.19
8486,0.14,0.14
8487,0.13,0.17
8488,0.1,0.17
8489,0.53,0.3
8490,0.15,0.16
8491,0.12,0.13
8492,0.13,0.15
8493,0.1,0.16
8494,0.14,0.19
8495,0.1,0.14
8496,0.12,0.16
8497,0.19,0.16
8498,0.18,0.1
8499,0.14,0.19
8500,0.12,0.13
8501,0.12,0.13
8502,0.19,0.19
8503,0.14,0.12
8504,0.34,0.21
8505,0.18,0.2
8506,0.37,0.28
8507,0.19,0.12
8508,0.19,0.14
8509,0.15,0.13
8510,0.18,0.13
8511,0.11,0.14
8512,0.12,0.2
8513,0.16,0.11
8514,0.14,0.1
8515,0.18,0.1
8516,0.16,0.11
8517,0.19,0.18
8518,0.36,0.26
8519,0.11,0.19
8520,0.18,0.13
8521,0.19,0.2
8522,0.54,0.38
8523,0.15,0.2
8524,0.19,0.16
8525,0.13,0.18
8526,0.33,0.26
8527,0.2,0.19
8528,0.2,0.1
8529,0.17,0.2
8530,0.14,0.14
8531,0.1,0.19
8532,0.15,0.14
8533,0.16,0.17
8534,0.16,0.13
8535,0.19,0.15
8536,0.18,0.15
8537,0.32,0.22
8538,0.39,0.22
8539,0.17,0.19
8540,0.13,0.12
8541,0.36,0.21
8542,0.16,0.2
8543,0.16,0.13
8544,0.2,0.11
8545,0.18,0.13
8546,0.2,0.16
8547,0.3,0.25
8548,0.2,0.12
8549,0.31,0.26
8550,0.18,0.18
8551,0.18,0.19
8552,0.1,0.13
8553,0.12,0.2
8554,0.16,0.12
8555,0.11,0.1
8556,0.11,0.11
8557,0.12,0.16
8558,0.11,0.19
8559,0.56,0.31
8560,0.13,0.19
8561,0.19,0.2
8562,0.15,0.12
8563,0.1,0.14
8564,0.51,0.32
8565,0.1,0.12
8566,0.17,0.18
8567,0.11,0.1
8568,0.2,0.15
8569,0.14,0.11
8570,0.54,0.31
8571,0.38,0.26
8572,0.52,0.36
8573,0.13,0.18
8574,0.17,0.16
8575,0.19,0.12
8576,0.11,0.12
8577,0.16,0.19
8578,0.37,0.22
8579,0.38,0.27
8580,0.31,0.22
8581,0.38,0.2
8582,0.14,0.1
8583,0.14,0.2
8584,0.1,0.1
8585,0.32,0.3
8586,0.18,0.19
8587,0.36,0.2
8588,0.17,0.18
8589,0.3,0.23
8590,0.11,0.12
8591,0.18,0.12
8592,0.19,0.12
8593,0.2,0.19
8594,0.18,0.17
8595,0.13,0.15
8596,0.15,0.15
8597,0.17,0.17
8598,0.16,0.15
8599,0.14,0.11
8600,0.11,0.15
8601,0.18,0.11
8602,0.13,0.1
8603,0.11,0.11
8604,0.12,0.19
8605,0.37,0.23
8606,0.11,0.16
8607,0.19,0.19
8608,0.11,0.13
8609,0.17,0.19
8610,0.17,0.15
8611,0.15,0.1
8612,0.14,0.18
8613,0.16,0.12
8614,0.19,0.2
8615,0.16,0.17
8616,0.12,0.12
8617,0.14,0.14
8618,0.18,0.17
8619,0.1,0.13
8620,0.12,0.19
8621,0.12,0.17
8622,0.14,0.2
8623,0.32,0.29
8624,0.16,0.19
8625,0.3,0.27
8626,0.15,0.1
8627,0.1,0.19
8628,0.53,0.38
8629,0.39,0.23
8630,0.18,0.13
8631,0.11,0.11
8632,0.11,0.11
8633,0.4,0.25
8634,0.15,0.12
8635,0.18,0.1
8636,0.18,0.15
8637,0.3,0.22
8638,0.15,0.16
8639,0.1,0.2
8640,0.18,0.11
8641,0.1,0.12
8642,0.33,0.27
8643,0.11,0.11
8644,0.19,0.11
8645,0.13,0.19
8646,0.51,0.38
8647,0.19,0.16
8648,0.19,0.12
8649,0.32,0.28
8650,0.17,0.18
8651,0.37,0.25
8652,0.16,0.18
8653,0.13,0.15
8654,0.15,0.18
8655,0.17,0.2
8656,0.14,0.13
8657,0.2,0.16
8658,0.17,0.18
8659,0.37,0.28
8660,0.15,0.17
8661,0.16,0.1
8662,0.15,0.17
8663,0.1,0.19
8664,0.16,0.19
8665,0.12,0.14
8666,0.1,0.18
8667,0.18,0.16
8668,0.14,0.2
8669,0.13,0.15
8670,0.15,0.12
8671,0.12,0.19
8672,0.17,0.15
8673,0.1,0.17
8674,0.2,0.19
8675,0.17,0.17
8676,0.18,0.17
8677,0.16,0.16
8678,0.16,0.16
8679,0.12,0.13
8680,0.12,0.15
8681,0.14,0.2
8682,0.16,0.13
8683,0.1,0.18
8684,0.15,0.16
8685,0.2,0.18
8686,0.19,0.19
8687,0.2,0.16
8688,0.37,0.22
8689,0.18,0.15
8690,0.16,0.1
8691,0.13,0.16
8692,0.11,0.13
8693,0.39,0.21
8694,0.2,0.17
8695,0.14,0.13
8696,0.12,0.14
8697,0.13,0.11
8698,0.14,0.19
8699,0.16,0.19
8700,0.11,0.19
8701,0.11,0.15
8702,0.13,0.13
8703,0.11,0.15
8704,0.18,0.1
8705,0.17,0.18
8706,0.5,0.33
8707,0.31,0.23
8708,0.17,0.19
8709,0.19,0.17
8710,0.17,0.12
8711,0.4,0.24
8712,0.4,0.3
8713,0.35,0.3
8714,0.18,0.19
8715,0.17,0.16
8716,0.19,0.15
8717,0.32,0.24
8718,0.56,0.36
8719,0.11,0.16
8720,0.15,0.16
8721,0.11,0.14
8722,0.19,0.19
8723,0.1,0.2
8724,0.18,0.14
8725,0.18,0.18
8726,0.11,0.18
8727,0.2,0.12
8728,0.16,0.14
8729,0.2,0.11
8730,0.3,0.22
8731,0.79,0.48
8732,0.17,0.19
8733,0.19,0.11
8734,0.2,0.2
8735,0.13,0.18
8736,0.13,0.11
8737,0.19,0.13
8738,0.19,0.14
8739,0.38,0.29
8740,0.12,0.14
8741,0.17,0.11
8742,0.16,0.14
8743,0.16,0.1
8744,0.57,0.36
8745,0.59,0.39
8746,0.15,0.2
8747,0.4,0.22
8748,0.2,0.1
8749,0.12,0.18
8750,0.13,0.14
8751,0.38,0.22
8752,0.11,0.13
8753,0.18,0.2
8754,0.12,0.1
8755,0.5,0.38
8756,0.2,0.18
8757,0.12,0.13
8758,0.12,0.14
8759,0.19,0.14
8760,0.52,0.4
8761,0.17,0.14
8762,0.38,0.23
8763,0.18,0.17
8764,0.17,0.12
8765,0.14,0.12
8766,0.2,0.14
8767,0.16,0.2
8768,0.13,0.13
8769,0.33,0.2
8770,0.16,0.17
8771,0.36,0.23
8772,0.16,0.18
8773,0.1,0.2
8774,0.11,0.1
8775,0.37,0.28
8776,0.2,0.15
8777,0.3,0.26
8778,0.1,0.11
8779,0.1,0.1
8780,0.32,0.21
8781,0.15,0.1
8782,0.17,0.17
8783,0.12,0.1
8784,0.12,0.13
8785,0.38,0.27
8786,0.1,0.1
8787,0.55,0.35
8788,0.14,0.18
8789,0.16,0.2
8790,0.13,0.17
8791,0.17,0.15
8792,0.11,0.16
8793,0.14,0.18
8794,0.16,0.19
8795,0.19,0.2
8796,0.17,0.14
8797,0.14,0.2
8798,0.11,0.2
8799,0.15,0.1
8800,0.17,0.17
8801,0.3,0.23
8802,0.14,0.12
8803,0.14,0.12
8804,0.2,0.12
8805,0.13,0.19
8806,0.31,0.25
8807,0.12,0.16
8808,0.36,0.28
8809,0.37,0.26
8810,0.19,0.13
8811,0.57,0.34
8812,0.13,0.18
8813,0.16,0.15
8814,0.11,0.13
8815,0.17,0.15
8816,0.37,0.23
8817,0.56,0.3
8818,0.17,0.16
8819,0.1,0.11
8820,0.13,0.15
8821,0.52,0.4
8822,0.32,0.26
8823,0.11,0.2
8824,0.1,0.19
8825,0.15,0.13
8826,0.14,0.12
8827,0.2,0.16
8828,0.19,0.18
8829,0.15,0.17
8830,0.13,0.19
8831,0.17,0.14
8832,0.73,0.4
8833,0.17,0.14
8834,0.53,0.3
8835,0.18,0.2
8836,0.12,0.17
